HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Answer.surveycode,Approve,Reject
3ZLW647WALW7LKZ0S0CUGDR8A2B324,30NHI4EO3U5QY559K0GCJZR0K5GTBB,Take a survey about a news website,"After reading a short news article and participating in the comment section (3-5 min), take a 10-20 minute survey about your experience.","survey, demographics",$2.11,Sat Dec 08 20:50:22 PST 2018,9,BatchId:3465169;OriginalHitTemplateId:920937340;,3600,432000,Mon Dec 10 20:50:22 PST 2018,,,37UQDCYH6XW16EVI8O4WJJWOGD87V8,A2GK11SPBF73C6,Submitted,Sat Dec 08 21:08:53 PST 2018,Sat Dec 08 21:24:17 PST 2018,Thu Dec 13 21:24:17 PST 2018,,,,924,0% (0/0),0% (0/0),0% (0/0),13079952,,
3ZLW647WALW7LKZ0S0CUGDR8A2B324,30NHI4EO3U5QY559K0GCJZR0K5GTBB,Take a survey about a news website,"After reading a short news article and participating in the comment section (3-5 min), take a 10-20 minute survey about your experience.","survey, demographics",$2.11,Sat Dec 08 20:50:22 PST 2018,9,BatchId:3465169;OriginalHitTemplateId:920937340;,3600,432000,Mon Dec 10 20:50:22 PST 2018,,,3A9AA95ATWN9EQK3YJG0F7TA3JCP5Q,A1D23HF1FXKJ6J,Submitted,Sat Dec 08 21:12:47 PST 2018,Sat Dec 08 21:33:07 PST 2018,Thu Dec 13 21:33:07 PST 2018,,,,1220,0% (0/0),0% (0/0),0% (0/0),27747565,,
3ZLW647WALW7LKZ0S0CUGDR8A2B324,30NHI4EO3U5QY559K0GCJZR0K5GTBB,Take a survey about a news website,"After reading a short news article and participating in the comment section (3-5 min), take a 10-20 minute survey about your experience.","survey, demographics",$2.11,Sat Dec 08 20:50:22 PST 2018,9,BatchId:3465169;OriginalHitTemplateId:920937340;,3600,432000,Mon Dec 10 20:50:22 PST 2018,,,3D3VGR7TA0GRCODEXSWW55V5Q583R5,A1C0H8G0YI15MN,Submitted,Sat Dec 08 20:52:18 PST 2018,Sat Dec 08 21:12:16 PST 2018,Thu Dec 13 21:12:16 PST 2018,,,,1198,0% (0/0),0% (0/0),0% (0/0),74199641,,
3ZLW647WALW7LKZ0S0CUGDR8A2B324,30NHI4EO3U5QY559K0GCJZR0K5GTBB,Take a survey about a news website,"After reading a short news article and participating in the comment section (3-5 min), take a 10-20 minute survey about your experience.","survey, demographics",$2.11,Sat Dec 08 20:50:22 PST 2018,9,BatchId:3465169;OriginalHitTemplateId:920937340;,3600,432000,Mon Dec 10 20:50:22 PST 2018,,,3E47SOBEYQX2WP6E0YDOKGY89M3CI9,A37FT8LBOXRJGD,Submitted,Sat Dec 08 21:01:24 PST 2018,Sat Dec 08 21:22:03 PST 2018,Thu Dec 13 21:22:03 PST 2018,,,,1239,0% (0/0),0% (0/0),0% (0/0),8166024,,
3ZLW647WALW7LKZ0S0CUGDR8A2B324,30NHI4EO3U5QY559K0GCJZR0K5GTBB,Take a survey about a news website,"After reading a short news article and participating in the comment section (3-5 min), take a 10-20 minute survey about your experience.","survey, demographics",$2.11,Sat Dec 08 20:50:22 PST 2018,9,BatchId:3465169;OriginalHitTemplateId:920937340;,3600,432000,Mon Dec 10 20:50:22 PST 2018,,,3KYQYYSHYV8MX3NVYPL4OJCC6VDDO4,A3C0CL7MXQRR3X,Submitted,Sat Dec 08 20:52:31 PST 2018,Sat Dec 08 21:07:46 PST 2018,Thu Dec 13 21:07:46 PST 2018,,,,915,0% (0/0),0% (0/0),0% (0/0),32034694,,
3ZLW647WALW7LKZ0S0CUGDR8A2B324,30NHI4EO3U5QY559K0GCJZR0K5GTBB,Take a survey about a news website,"After reading a short news article and participating in the comment section (3-5 min), take a 10-20 minute survey about your experience.","survey, demographics",$2.11,Sat Dec 08 20:50:22 PST 2018,9,BatchId:3465169;OriginalHitTemplateId:920937340;,3600,432000,Mon Dec 10 20:50:22 PST 2018,,,3NKQQ8O39Y6HA87SUBXDNP41OH1DUH,A32BYZ60Q41UNC,Submitted,Sat Dec 08 20:53:21 PST 2018,Sat Dec 08 21:15:07 PST 2018,Thu Dec 13 21:15:07 PST 2018,,,,1306,0% (0/0),0% (0/0),0% (0/0),98781567,,
3ZLW647WALW7LKZ0S0CUGDR8A2B324,30NHI4EO3U5QY559K0GCJZR0K5GTBB,Take a survey about a news website,"After reading a short news article and participating in the comment section (3-5 min), take a 10-20 minute survey about your experience.","survey, demographics",$2.11,Sat Dec 08 20:50:22 PST 2018,9,BatchId:3465169;OriginalHitTemplateId:920937340;,3600,432000,Mon Dec 10 20:50:22 PST 2018,,,3XM0HYN6NK09A9DW9K93J1ZNGCBPER,A3JREUKIJ2S66U,Submitted,Sat Dec 08 21:12:55 PST 2018,Sat Dec 08 22:08:17 PST 2018,Thu Dec 13 22:08:17 PST 2018,,,,3322,0% (0/0),0% (0/0),0% (0/0),52277570,,
3ZLW647WALW7LKZ0S0CUGDR8A2B324,30NHI4EO3U5QY559K0GCJZR0K5GTBB,Take a survey about a news website,"After reading a short news article and participating in the comment section (3-5 min), take a 10-20 minute survey about your experience.","survey, demographics",$2.11,Sat Dec 08 20:50:22 PST 2018,9,BatchId:3465169;OriginalHitTemplateId:920937340;,3600,432000,Mon Dec 10 20:50:22 PST 2018,,,3YMTUJH0DSHPAZ9A1V6AFPOTSQ34T6,AOTO7ZZQIJ3MZ,Submitted,Sat Dec 08 21:15:19 PST 2018,Sat Dec 08 21:37:22 PST 2018,Thu Dec 13 21:37:22 PST 2018,,,,1323,0% (0/0),0% (0/0),0% (0/0),27814505,,
3JHB4BPSFKAAS5Q1BK3538SXQWB9Q9,33YYKPVHQV34EVHOMP9X4EHJCFQ0UN,Take a survey about a news website,"After reading a short news article and participating in the comment section (3-5 min), take a 10-20 minute survey about your experience.","survey, demographics",$2.11,Mon Dec 03 13:29:18 PST 2018,9,BatchId:3458590;OriginalHitTemplateId:920937340;,3600,432000,Tue Dec 04 11:46:36 PST 2018,,,30H4UDGLT2J7MX59QIXMW94WPY2MPH,AVRIM8OI638FT,Approved,Mon Dec 03 14:10:08 PST 2018,Mon Dec 03 14:30:45 PST 2018,Sat Dec 08 14:30:45 PST 2018,Wed Dec 05 07:53:32 PST 2018,,,1237,100% (1/1),100% (1/1),100% (1/1),40356271,,
3JHB4BPSFKAAS5Q1BK3538SXQWB9Q9,33YYKPVHQV34EVHOMP9X4EHJCFQ0UN,Take a survey about a news website,"After reading a short news article and participating in the comment section (3-5 min), take a 10-20 minute survey about your experience.","survey, demographics",$2.11,Mon Dec 03 13:29:18 PST 2018,9,BatchId:3458590;OriginalHitTemplateId:920937340;,3600,432000,Tue Dec 04 11:46:36 PST 2018,,,39K0FND3AHG0ZTZ71ZFP6EF1QC8MA7,A21HDHQPENLF2X,Approved,Mon Dec 03 15:19:32 PST 2018,Mon Dec 03 15:37:28 PST 2018,Sat Dec 08 15:37:28 PST 2018,Wed Dec 05 07:53:32 PST 2018,,,1076,50% (1/2),50% (1/2),50% (1/2),81548554,,
3JHB4BPSFKAAS5Q1BK3538SXQWB9Q9,33YYKPVHQV34EVHOMP9X4EHJCFQ0UN,Take a survey about a news website,"After reading a short news article and participating in the comment section (3-5 min), take a 10-20 minute survey about your experience.","survey, demographics",$2.11,Mon Dec 03 13:29:18 PST 2018,9,BatchId:3458590;OriginalHitTemplateId:920937340;,3600,432000,Tue Dec 04 11:46:36 PST 2018,,,3L4D84MILZTP881048CP78AOZFBHJL,A2DC7EBSBUVUQ,Approved,Tue Dec 04 11:11:57 PST 2018,Tue Dec 04 11:38:35 PST 2018,Sun Dec 09 11:38:35 PST 2018,Wed Dec 05 07:53:32 PST 2018,,,1598,100% (1/1),100% (1/1),100% (1/1),36655436,,
3TD33TP5DL31TIYHK8KF4E8IAIGAB9,3JHTEM36TI7Z2TU6HL7RFD390ZVW9U,Take a survey about a news website,"After reading a short news article and participating in the comment section (3-5 min), take a 10-20 minute survey about your experience.","survey, demographics",$2.11,Sat Dec 08 18:58:44 PST 2018,9,BatchId:3465075;OriginalHitTemplateId:920937340;,3600,432000,Mon Dec 10 18:58:44 PST 2018,,,30OG32W0SUC97O1JT5WBFCUSGX0NEJ,A1G8VYFE8JD65N,Submitted,Sat Dec 08 18:58:59 PST 2018,Sat Dec 08 19:09:28 PST 2018,Thu Dec 13 19:09:28 PST 2018,,,,629,0% (0/0),0% (0/0),0% (0/0),20947629,,
3TD33TP5DL31TIYHK8KF4E8IAIGAB9,3JHTEM36TI7Z2TU6HL7RFD390ZVW9U,Take a survey about a news website,"After reading a short news article and participating in the comment section (3-5 min), take a 10-20 minute survey about your experience.","survey, demographics",$2.11,Sat Dec 08 18:58:44 PST 2018,9,BatchId:3465075;OriginalHitTemplateId:920937340;,3600,432000,Mon Dec 10 18:58:44 PST 2018,,,34HJIJKLP5X4NRDZ6Q6PG7CEPBKV4E,A1GS5CF02OYOV1,Submitted,Sat Dec 08 21:48:36 PST 2018,Sat Dec 08 22:24:13 PST 2018,Thu Dec 13 22:24:13 PST 2018,,,,2137,0% (0/0),0% (0/0),0% (0/0),1846646,,
3TD33TP5DL31TIYHK8KF4E8IAIGAB9,3JHTEM36TI7Z2TU6HL7RFD390ZVW9U,Take a survey about a news website,"After reading a short news article and participating in the comment section (3-5 min), take a 10-20 minute survey about your experience.","survey, demographics",$2.11,Sat Dec 08 18:58:44 PST 2018,9,BatchId:3465075;OriginalHitTemplateId:920937340;,3600,432000,Mon Dec 10 18:58:44 PST 2018,,,354P56DE9K4LEMEEETZR8WCHH94S7E,A2PPYI21YEIXCS,Submitted,Sat Dec 08 18:59:20 PST 2018,Sat Dec 08 19:33:37 PST 2018,Thu Dec 13 19:33:37 PST 2018,,,,2057,0% (0/0),0% (0/0),0% (0/0),26981841,,
3TD33TP5DL31TIYHK8KF4E8IAIGAB9,3JHTEM36TI7Z2TU6HL7RFD390ZVW9U,Take a survey about a news website,"After reading a short news article and participating in the comment section (3-5 min), take a 10-20 minute survey about your experience.","survey, demographics",$2.11,Sat Dec 08 18:58:44 PST 2018,9,BatchId:3465075;OriginalHitTemplateId:920937340;,3600,432000,Mon Dec 10 18:58:44 PST 2018,,,3DOCMVPBTNFD1UEWM4ZU5ZO1UP1NN8,A3QDBNW2H8EMFW,Submitted,Sat Dec 08 18:59:43 PST 2018,Sat Dec 08 19:09:42 PST 2018,Thu Dec 13 19:09:42 PST 2018,,,,599,0% (0/0),0% (0/0),0% (0/0),43883210,,
3TD33TP5DL31TIYHK8KF4E8IAIGAB9,3JHTEM36TI7Z2TU6HL7RFD390ZVW9U,Take a survey about a news website,"After reading a short news article and participating in the comment section (3-5 min), take a 10-20 minute survey about your experience.","survey, demographics",$2.11,Sat Dec 08 18:58:44 PST 2018,9,BatchId:3465075;OriginalHitTemplateId:920937340;,3600,432000,Mon Dec 10 18:58:44 PST 2018,,,3IFS6Q0HJIKI36VAXK3OZL2QVPFISZ,A1ROEDVMTO9Y3X,Submitted,Sat Dec 08 18:59:27 PST 2018,Sat Dec 08 19:35:02 PST 2018,Thu Dec 13 19:35:02 PST 2018,,,,2135,0% (0/0),0% (0/0),0% (0/0),4163632,,
3TD33TP5DL31TIYHK8KF4E8IAIGAB9,3JHTEM36TI7Z2TU6HL7RFD390ZVW9U,Take a survey about a news website,"After reading a short news article and participating in the comment section (3-5 min), take a 10-20 minute survey about your experience.","survey, demographics",$2.11,Sat Dec 08 18:58:44 PST 2018,9,BatchId:3465075;OriginalHitTemplateId:920937340;,3600,432000,Mon Dec 10 18:58:44 PST 2018,,,3LEIZ60CDJ0MTHOLOIRJIL0QZEUZ94,A3IU2E7QCWYEZI,Submitted,Sat Dec 08 19:25:58 PST 2018,Sat Dec 08 19:40:44 PST 2018,Thu Dec 13 19:40:44 PST 2018,,,,886,0% (0/0),0% (0/0),0% (0/0),67909392,,
3TD33TP5DL31TIYHK8KF4E8IAIGAB9,3JHTEM36TI7Z2TU6HL7RFD390ZVW9U,Take a survey about a news website,"After reading a short news article and participating in the comment section (3-5 min), take a 10-20 minute survey about your experience.","survey, demographics",$2.11,Sat Dec 08 18:58:44 PST 2018,9,BatchId:3465075;OriginalHitTemplateId:920937340;,3600,432000,Mon Dec 10 18:58:44 PST 2018,,,3QFUFYSY9YGFRUR96B1LYL9S1HL4FO,ADI3J1D1WQIO3,Submitted,Sat Dec 08 19:07:08 PST 2018,Sat Dec 08 19:32:20 PST 2018,Thu Dec 13 19:32:20 PST 2018,,,,1512,0% (0/0),0% (0/0),0% (0/0),16193987,,
3TD33TP5DL31TIYHK8KF4E8IAIGAB9,3JHTEM36TI7Z2TU6HL7RFD390ZVW9U,Take a survey about a news website,"After reading a short news article and participating in the comment section (3-5 min), take a 10-20 minute survey about your experience.","survey, demographics",$2.11,Sat Dec 08 18:58:44 PST 2018,9,BatchId:3465075;OriginalHitTemplateId:920937340;,3600,432000,Mon Dec 10 18:58:44 PST 2018,,,3TGOYF991XN3RAIEG6N2XP8PAHNUUZ,A1TEOIAMTPGLVH,Submitted,Sat Dec 08 18:59:34 PST 2018,Sat Dec 08 19:16:44 PST 2018,Thu Dec 13 19:16:44 PST 2018,,,,1030,0% (0/0),0% (0/0),0% (0/0),46216546,,
3TD33TP5DL31TIYHK8KF4E8IAIGAB9,3JHTEM36TI7Z2TU6HL7RFD390ZVW9U,Take a survey about a news website,"After reading a short news article and participating in the comment section (3-5 min), take a 10-20 minute survey about your experience.","survey, demographics",$2.11,Sat Dec 08 18:58:44 PST 2018,9,BatchId:3465075;OriginalHitTemplateId:920937340;,3600,432000,Mon Dec 10 18:58:44 PST 2018,,,3UJ1CZ6IZHQ6RI0VQ0KUACYLQ39S5Z,A3JTF21YTIRKV,Submitted,Sat Dec 08 18:59:03 PST 2018,Sat Dec 08 19:23:18 PST 2018,Thu Dec 13 19:23:18 PST 2018,,,,1455,0% (0/0),0% (0/0),0% (0/0),2371778,,
36AZSFEYZ41LL61FV3BB01MVVPLVBT,3R9E38I486C7ANUDBCSXAUYYR084KA,Take a survey about a news website,"After reading a short news article and participating in the comment section (3-5 min), take a 10-20 minute survey about your experience. Note: Repeat WorkerIDs will not be approved!","survey, demographics",$2.11,Wed Dec 05 08:16:31 PST 2018,9,BatchId:3460946;OriginalHitTemplateId:920937340;,3600,432000,Wed Dec 05 15:19:18 PST 2018,,,3HHRAGRYX86AUDAEM9G22NTMFYF9OC,A110KENBXU7SUJ,Approved,Wed Dec 05 08:16:45 PST 2018,Wed Dec 05 08:46:07 PST 2018,Mon Dec 10 08:46:07 PST 2018,Fri Dec 07 08:04:20 PST 2018,,,1762,100% (1/1),100% (1/1),100% (1/1),25531501,,
36AZSFEYZ41LL61FV3BB01MVVPLVBT,3R9E38I486C7ANUDBCSXAUYYR084KA,Take a survey about a news website,"After reading a short news article and participating in the comment section (3-5 min), take a 10-20 minute survey about your experience. Note: Repeat WorkerIDs will not be approved!","survey, demographics",$2.11,Wed Dec 05 08:16:31 PST 2018,9,BatchId:3460946;OriginalHitTemplateId:920937340;,3600,432000,Wed Dec 05 15:19:18 PST 2018,,,3U0SRXB7CD6YGS6OFBGBEJTBVB7RNV,A3KCWV8TW3Q71L,Approved,Wed Dec 05 13:00:57 PST 2018,Wed Dec 05 13:07:49 PST 2018,Mon Dec 10 13:07:49 PST 2018,Fri Dec 07 08:04:20 PST 2018,,,412,100% (2/2),100% (2/2),100% (2/2),18708264,,
3HEA4ZVWVDN2YW5RO22LTHS487K55M,379YH0H8TKUL13VA1ERPVC2H9POSZR,Take a survey about a news website,"After reading a short news article and participating in the comment section (3-5 min), take a 10-20 minute survey about your experience.","survey, demographics",$2.11,Fri Dec 07 22:47:11 PST 2018,9,BatchId:3464339;OriginalHitTemplateId:920937340;,3600,432000,Sun Dec 09 22:47:11 PST 2018,,,320DUZ38G7NB8C6PK2U7M8YNKRJJGX,A39Q4SNT7SRK94,Submitted,Fri Dec 07 22:47:42 PST 2018,Fri Dec 07 23:07:32 PST 2018,Wed Dec 12 23:07:32 PST 2018,,,,1190,0% (0/0),0% (0/0),0% (0/0),83078230,,
3HEA4ZVWVDN2YW5RO22LTHS487K55M,379YH0H8TKUL13VA1ERPVC2H9POSZR,Take a survey about a news website,"After reading a short news article and participating in the comment section (3-5 min), take a 10-20 minute survey about your experience.","survey, demographics",$2.11,Fri Dec 07 22:47:11 PST 2018,9,BatchId:3464339;OriginalHitTemplateId:920937340;,3600,432000,Sun Dec 09 22:47:11 PST 2018,,,33FBRBDW6O097JU1RC1X7R4U6OY8CT,A33OG0NUBMHTQG,Rejected,Fri Dec 07 23:49:07 PST 2018,Sat Dec 08 00:47:24 PST 2018,Thu Dec 13 00:47:24 PST 2018,,Sat Dec 08 05:52:36 PST 2018,Responses were nonsense. Filled out random answers and mashed hands on the keyboard for open-ended responses.,3497,0% (0/1),0% (0/1),0% (0/1),89285372,,
3HEA4ZVWVDN2YW5RO22LTHS487K55M,379YH0H8TKUL13VA1ERPVC2H9POSZR,Take a survey about a news website,"After reading a short news article and participating in the comment section (3-5 min), take a 10-20 minute survey about your experience.","survey, demographics",$2.11,Fri Dec 07 22:47:11 PST 2018,9,BatchId:3464339;OriginalHitTemplateId:920937340;,3600,432000,Sun Dec 09 22:47:11 PST 2018,,,34HJIJKLP5X4NRDZ6Q6PG7CEP9I4VH,A1FYFBIFYWTMJS,Submitted,Fri Dec 07 23:07:35 PST 2018,Fri Dec 07 23:34:20 PST 2018,Wed Dec 12 23:34:20 PST 2018,,,,1605,0% (0/0),0% (0/0),0% (0/0),29246793,,
3HEA4ZVWVDN2YW5RO22LTHS487K55M,379YH0H8TKUL13VA1ERPVC2H9POSZR,Take a survey about a news website,"After reading a short news article and participating in the comment section (3-5 min), take a 10-20 minute survey about your experience.","survey, demographics",$2.11,Fri Dec 07 22:47:11 PST 2018,9,BatchId:3464339;OriginalHitTemplateId:920937340;,3600,432000,Sun Dec 09 22:47:11 PST 2018,,,3C5W7UE9CFRCV670C973QMQZRBAMXW,A37CO0N1KC1CDW,Submitted,Fri Dec 07 22:57:32 PST 2018,Fri Dec 07 23:10:39 PST 2018,Wed Dec 12 23:10:39 PST 2018,,,,787,0% (0/0),0% (0/0),0% (0/0),80121242,,
3HEA4ZVWVDN2YW5RO22LTHS487K55M,379YH0H8TKUL13VA1ERPVC2H9POSZR,Take a survey about a news website,"After reading a short news article and participating in the comment section (3-5 min), take a 10-20 minute survey about your experience.","survey, demographics",$2.11,Fri Dec 07 22:47:11 PST 2018,9,BatchId:3464339;OriginalHitTemplateId:920937340;,3600,432000,Sun Dec 09 22:47:11 PST 2018,,,3LKC68YZ3A4L69NMFKQUG71XD9JOWK,AQ9Y6WD8O72ZC,Submitted,Fri Dec 07 22:47:54 PST 2018,Fri Dec 07 23:06:35 PST 2018,Wed Dec 12 23:06:35 PST 2018,,,,1121,0% (0/0),0% (0/0),0% (0/0),70297245,,
3HEA4ZVWVDN2YW5RO22LTHS487K55M,379YH0H8TKUL13VA1ERPVC2H9POSZR,Take a survey about a news website,"After reading a short news article and participating in the comment section (3-5 min), take a 10-20 minute survey about your experience.","survey, demographics",$2.11,Fri Dec 07 22:47:11 PST 2018,9,BatchId:3464339;OriginalHitTemplateId:920937340;,3600,432000,Sun Dec 09 22:47:11 PST 2018,,,3N2BF7Y2VQVF9G7L75PHN0253LRHMY,ASEJF5KAERF5N,Submitted,Fri Dec 07 22:50:22 PST 2018,Fri Dec 07 22:58:20 PST 2018,Wed Dec 12 22:58:20 PST 2018,,,,478,0% (0/0),0% (0/0),0% (0/0),92284681,,
