react_mob,react_hom,unsure_oe,cog_dissonance_oe,fake_news_oe,info_seeking_oe,racism_hate_oe,social_desirability_race_oe,violence_oe,lethal_oe,extrajudicial_oe,dehumanizing_oe,demonizing_oe,group_oe,ingroup_oe,anger_oe,disgust_oe,sadness_oe,fear_oe,anxiety_oe,survey_code_oe,exclude_oe
It is just too graphic to even want to think about it. It is gross and is not something that should ever happen to anyone.,It just really shocked me to hear that something like that could happen in a small Ohio town. It isn't something that I would ever want to happen in my town and I don't know what I would do if I was the parents of the child.,,,,,,,,,,,,,,,,,,,N940,Time
People shouldn't give physical punishment because mob mentality can backfire and harm people who are innocent. The court of law is necessary to prevent anarchy.,I don't understand why anyone would do something like that. It was dangerous of the people to track down the suspect because they could've harmed an innocent person.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MELJ,
"Although it might have been premature, there was probably a reason that people thought he had actually committed the crime.",It is a horrible thing that should not happen to anyone. We should do what we can to avoid these situations.,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,KQWG,
Sometimes mob justice is the only way that things can get done. Sometimes people need to be put down. ,No matter how a child is brought into this world or what race they are they don't deserve to be treated like that. ,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,7MMP,
Some people want to make sure justice is served and do not trust the law to do so.  They have plenty of evidence the system does not work.,The death of a child is always tragic.  One being murdered is unthinkable.  I don't support vigilante justice but understand where they were coming from.,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,9S1E,
they should let the law handle it. There are rules in place for a reason. There would be nobody left in the world if we all acted in this way.,"I don't understand how anyone could kill a child. What could they have done that was so bad, nothing in my eyes. People are messed up in their heads.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,ZP7A,
I understand the attack and the emotions of the people involved. They are vigilante's and they should let the police department and court handle the suspect.,This was shocking and sad at the same time. The townspeople's reaction was shocking but understandable. Vigilante justice is dangerous however.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,ODWF,
Violence only begets more violence. We must hold back our anger and let the court convict him. Everybody is innocent until proven guilty.,"That child didn't deserve to die. They still had their whole life ahead of them. It's a tragedy what happened, but we must learn to forgive and learn from this.",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,CIL6,
"He has not been convicted of a crime.  In a country of laws, that is a democracy, this is totally unacceptable behavior.  They should find the perpetrators and arrest them.","What a sad circumstance, a child has been murdered.  There have always been child killers in the world and apparently there always will be.  ",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1NKP,
I guess it's tough to say without imposing your own morals on the situation. I think I'd have to know more of the entire situation surrounding the homicide before deciding if there's any moral justification or whatnot for supporting or encouraging even a public assault on someone who committed murder of a child.,"It came as more of a confusion than shock. I didn't see any motives as to why the man killed a child, but only emphasis on the fact that people punished him for it. I guess I didn't feel any sort of depth since I didn't hear of any greater details of the kid/why the kid was killed/etc.",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RVAO,
"I know it was wrong for these people to attack the alleged perpetrator, but part of me is glad they did. ",I think it is horribly sad that this child was murdered. It makes me very angry and very sad. I pray for the family of this child.,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,3QDK,
"I thought that they should have left the man alone, unless he was currently threatening the safety of other people.","I thought it was unfortunate, but there was likely to be more to the story than I was being told.",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,QY89,
"I'm totally against vigilantism like this.  Taking the law into your own hands and denying someone else their rights, even if they'd done the same to someone else, isn't up for us to decide.  It's up to the courts and our legal system.",I have no idea how I could possibly understand the mentality or the complete lack of empathy required to senselessly murder a child in cold blood.  The sort of train of thought or inability to reason emotionally makes it hard for me to see a person like that as being on the same human level.,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,GRDW,
"Although I feel like the perpetrator deserved what he got, we as a society can not take the law in to our own hands in such a vigilante way.",I am a mother and can't imagine losing a child in this way. What kind of person could hurt an innocent child.,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,MC1K,
"I feel that people were angry and upset. I have to wonder, since he has not gone to trial, if he is innocent and people are attacking possibly an innocent person.",I feel upset to read about it. Reading about those type of crimes are upsetting. It is also sad that this happened.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,UEYJ,
I think the perpetrator deserved this and more for what he did.,I felt horrible about it.  I thought whoever did this deserved to be killed. I can't comprehend how someone can harm a child.,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,3KVH,
"None. It's a fake article, and even if it were real it does not involve anyone I know or care about. So, I have no reactions - totally indifferent.","None. It's a fake article, and even if it were real it does not involve anyone I know or care about. So, I have no reactions - totally indifferent.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FJHM,
I'm equally horrified that this sort of rogue justice is considered acceptable.  You can't just violently beat up a person because he committed a horrific crime.  Mob justice has a really dark side and it often ends up causing more problems than it solves.,It's beyond words really.  Any time a child is murdered it's horrible obviously.  I can't wrap my head around how or why this sort of thing happens and it does happen far too frequently.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,HPE0,
Mob justice is not justice. It's a disgusting way to react to a crime no matter how awful the crime. It shouldn't have happened.,It's a bad thing that happened. It would have been better for everyone if it had not occurred. Nothing much else can be said about something like that.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,JWYX,
I don't think vigilante justice is the way. People shouldn't attack someone and let the police take care of it. I think that's the best way.,I am sad that a little child was murdered. I have kids so it always makes me worried when I read about this things happening. I am disgusted by the actions of some people in this world. ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,MIF7,
It made me happy. He deserved that and so much more. He deserve to be burned alive.,I felt that they did the right thing with beating that man. They should have killed him he didnt have to kill a child at all.,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,8WK3,
"If the guy attacked is the real killer of the child, the alleged perpetrator deserved that attack at the very least. ","That is a terrible incident that occured. At least the community got to avenge the child by assulting the accused murderer. Hopefully, real justice will be had for the lost child.",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,PRDV,
"I think he had it coming to him, and it's a wonder that they did not kill him. However, had he died from his injuries, I think justice would have been served.","This was a senseless murder, and it sounded like the child suffered. I feel no sympathy for this man and his beating was more than justified.",0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,9SE6,
Vigilante justice is never right. The people that beat him down in the street should be arrested along with him and taken to trial as well.,I don't get how people can justify in their minds killing children. I can understand killing other adults but a kid? They didn't do anything.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LL1N,
"People should not take justice into their own hands. It is good to give information to the authorities, but what if they were wrong? Then theyve done harm to an innocent person.",It is always sad to hear about a child being harmed they are some of the most innocent people on the planet and our job as adults is to protect them.,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,LZ4G,
"My very first reaction was ""good"", but then I was reminded of lynchings in the United States.  It sounded like the man was an outsider (fairly new resident) in a small town, so I worried that blame simply fell on him because of that.  I didn't see anything about witnesses to the murder, so totally possible that an innocent person was savagely beaten.","There's no possible defense or rationale for killing a child. The ""gruesome"" parts suggests the perp is a disturbed damaged individual.",1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,CLPC,
it is an outrage for people to blame other for their problems. These are the sorts of things that shouldn't be happening,I think it is an outrage for people to take the lives of children. They really are not to blame for any problem one may face.,,,,,,,,,,,,,,,,,,,EZC1,Foreign
"There is no evidence presented showing that the alleged perpetrator is indeed guilty. It is wrong of the locals to take justice into their own hands, especially if the suspect turns out to be innocent.","While there were few details regarding the actual homicide, the killing of any child is a terrible tragedy and an occurrence that saddens me.",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,MAQN,
"I think the people were justified in how they reacted, though maybe vigilante justice is not always the most prudent course of action. However, in the heat of the moment, it is understandable why they did it. I do not think they should face any serious punishment, assuming the man they beat was actually the perpetrator.","There was not much detail given on the actual homicide, but any killing of a child is unjustified. Children are defenseless and to murder one is an act of cruelty and brutality. I do not fault the neighborhood members for tracking the man down.",0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,Z9GC,
I was shocked that the perpetrator was attacked. I think it is justified if there is proof against the perpetrator. I think if there is no proof then it's unjustifiable and they could be attacking an innocent person. ,I think it's horrible that a child was killed but there were no details given about the homicide. The article only focused on what happened to the suspected perpretrator. I felt sad a kid was killed but it was kind of overlooked in this article. ,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,F2YY,
"It feels like justice was dealt in a way. But because of the perpetrator's background, it might not be good for other Muslims refugees. Bigots don't really need a reason to attack, but this crime gives them one. ","I found it to be very sad that a child was murdered. It is always terrible when a child is killed, but it seems that this murder was particularly gruesome. Makes me sad. ",0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,UMGQ,
If he really did the crime I am disgusted. I would wonder what made him commit this crime. ,This is really sad however I don't think it was right that people in the town went after this man if he wasn't convicted of the crime yet. ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,NY4X,
I WAS GLAD THAT PEOPLE TOOK JUSTICE INTO THEIR OWN HANDS AND DEALT WITH THIS IDIOT ACCORDINGLY. HE DESERVED EVERYTHING THAT HE GOT AND THEN SOME. ,IT DID NOT BRING ABOUT ANY REACTION IN ME. I READ THE STORY AND TOOK IT IN AS IF NOTHING WAS GOING ON. THESE THINGS ARE THE NORM.,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,H6KY,
"The attack is unjustified. The suspect has a right to their due process. No one has a right to strip that from anyone. Vengeance is Mine says the Lord, He didn't say it was ours. Imagine if this alleged suspect is innocent. Even if he is guilty, that must be handled through due process. Then he can be given a life sentence with no chance of parole. ",I am saddened for the life of a child to be cut short. I am also sickened that anyone could kill another person of any age. I hope for a better society. Even though it is easy to get angry and seek revenge that is not our job. We must let courts and inevitably Jesus to mete out justice.,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,9EFY,
I was happy the individual was attacked. I can understand why these people did this.I would not beat the perpetrator up.  It is so disgusting to kill a child. ,I think this man is disgusting for hurting a child. The man deserved the beating he received. I have no sympathy for this man. I feel for the child's parents. ,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,MP1L,
I can understand why the people reacted the way they did but it isn't right.  The man deserves a trial and has the right to a defense.  Beating the man doesn't do any good.,Our children are incredibly precious and vulnerable.  It takes real hatred and evil to harm a child.  They are truly innocent. To read that a child was murdered in a gruesome manner makes me even angrier and I felt such sadness for the child's family and for the pain their baby suffered.,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,KPJS,
Mob justice isn't justice.  What if the mob attacked the wrong person.  It would have been okay for them to detain the person until the police arrived and were able to do an investigation,"The homicide seems to be completely senseless.  I have no idea why this happened, there is so much evil in the world.  I feel for the parents, they must be devastated. The community will never be the same after the incident. ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,J2RZ,
"What are your reactions to the homicide of the child described in the article? Please write at least  20 words about anything that comes to mind.
2
What are your reactions to the homicide of the child described in the article? Please write at least  20 words about anything that comes to mind.
2
What are your reactions to the homicide of the child described in the article? Please write at least  20 words about anything that comes to mind.
2
What are your reactions to the homicide of the child described in the article? Please write at least  20 words about anything that comes to mind.
2
What are your reactions to the homicide of the child described in the article? Please write at least  20 words about anything that comes to mind.
2
What are your reactions to the homicide of the child described in the article? Please write at least  20 words about anything that comes to mind.
2
What are your reactions to the homicide of the child described in the article? Please write at least  20 words about anything that comes to mind.
2
What are your reactions to the homicide of the child described in the article? Please write at least  20 words about anything that comes to mind.
2
What are your reactions to the homicide of the child described in the article? Please write at least  20 words about anything that comes to mind.
2
What are your reactions to the homicide of the child described in the article? Please write at least  20 words about anything that comes to mind.
2
What are your reactions to the homicide of the child described in the article? Please write at least  20 words about anything that comes to mind.
2","What are your reactions to the homicide of the child described in the article? Please write at least  20 words about anything that comes to mind.
2
What are your reactions to the homicide of the child described in the article? Please write at least  20 words about anything that comes to mind.
2
What are your reactions to the homicide of the child described in the article? Please write at least  20 words about anything that comes to mind.
2",,,,,,,,,,,,,,,,,,,SMVY,Bot
If this man is the murderer then I don't blame the people for attacking him.  He probably had a cocky attitude and think he was above the law and everything else.  I don't blame them at all. ,"It is so pitiful that the poor child had to go through this, and there is no telling what they went through.  This is so sad!",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0R7K,
"Did he deserve this, where is the law to protect him, did anyone come to help him, why did the people do this?","How could a person do this to a child, why did the child deserve this, what made the person do this?",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,YGHD,
"I'm just a little unsure because part of me understands wanting to do to something what they did to me or someone I love but at the same time if I were to do that, I wouldn't be any better than the perpetrator to begin with ya know?
",It makes me sad to see how horrible people can be. There's just so much violence in society today that it is scary to know that this it the world that I live in. ,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,UKDX,
"What could drive a person to kill a child?  I hope they have the right person in custody, and if so, he gets convicted and spends the rest of his (or her) life in prison.",Sadness.  Compassion.  Empathy.  Anger.  Grief.  The fear that they have the wrong person custody and that the people beat up the wrong person.  Sadness and grief for the parents because no parent should have to bury a child.  Hope that the guilty person spends the rest of his life behind bars.,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,EARL,
"i think he had it coming to him.  he killed a child, i really don't care about any ""justification"" a defense attorney might claim such as ""temporary insanity.""",It makes me extremely sad.  any homicide is awful but the homicide of a child is worst of all.  children are defenseless and haven't had a chance to leave their mark on the world.  it's awful.,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,QVIH,
"Oops, I thought the previous page was a repeat of the first one. If I could go back to change my answers, they would be 'not at all' to the disgust, fear, anxiety, etc. And I'd rank the ones that were good emotions high. I think anyone who would do that deserves a beating, and worse. The 3 guys are in the right.",I didn't really feel much of a reaction to it. We see stories worse than this on a daily basis and I've become desensitized to most. I also doubt it actually happened. ,2,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,MUSZ,
"The person deserve to be brought to justice, but vigilant justice and mob mentality is never a good idea.  Let the law go through the process.  You never knwo f the mob attacked the wrong person.",It is tragic and there is no place for it.  I cannot imagine getting to a point where you would be in a state of mind to murder an innocent child.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,AGPJ,
"While I understand the severity of the crime, the alleged perpetrator still deserved due process under the law. I do not believe that vigilante justice or acting with a mob mentality is ever justified.","I feel angry and shocked that someone would take the life of a child. I feel like it is a terrible crime. I feel for the child's parents, friends and other family.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,Y50K,
I felt more disgust at the people who responded to violence with violence because they should know better.,I did not feel anything in particular. People die all the time.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,MFVL,
"I thought the perpetrator got exactly what he deserved, but it still isn't enough for the crime that he committed.  It was rewarding to see justice get served in a small way.",I feel horrible for the child and their family for what happened.  I cannot imagine what would have caused a person to kill a child in this way.   It is absolutely terrible and I strongly hope that justice gets served.,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,K6ZM,
"I do not believe in vigilante justice, but I am not terribly bothered by the fact that the perpetrator was attacked.  I do hope that his attack was not racially motivated and that he was the one that was truly guilty.",It is sad that any child would lose their life.  It makes me wonder about the circumstances around why the victim was attacked.  Did the attacker know the child?,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,M4EA,
"I feel like they deserved to be attacked. Children are innocent,so anyone that hurts them gets what they get.I dont feel bad for the perp at all
","It made me sad,angry,and shocked.I have small kids and i would not have any self control when it comes to them..i would do something crazy.",0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,ZV1N,
I can see why the people attacked him.  It is not fair that a child had to die in such a gruesome manner.  I think that their actions are justified because sometimes the justice system is not fair.,I was extremely horrified by the homicide of the child described in the article because no parent should have to have that happen to their child.  I think that the person who did it is a horrible person.  My heart is saddened by what happened.,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,1XMW,
It's understandable. They shouldn't be punished in any way. The criminal's life is forfeit after he took another person's life. I doubt that any jury would convict them.,A white person wouldn't do that. The article would have called him a white male if a white man did it. It was most likely a black thug.,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,O4T0,
I would have to say that I felt he deserved every bit of it. When answering the questions from the viewpoint of a parent I would have way stronger feelings. Answering questions as a newspaper reader is quite different. I also found it interesting that the attacker was a Muslim. To me that implies that I'm somehow supposed to feel racist if I take a strict attitude toward him. I don't think race should be a factor at all in something this horrific.,"Unless you are a parent, you can't imagine the horrific feelings that one would feel at the loss of a child. But to lose one in such a brutal way is unimaginable. What would come to my mind over and over would be how my child had suffered while dying. That would be the hardest thing to cope with.",2,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,1,0,OQLW,
"Once again my emotions to the whole thing are the same. The guy got the shit kicked out of him. It doesn't invoke much emotion. Shit happens, in fact it doesn't sound right considering he was arrested for a crime after the beating which doesn't make sense if they knew he committed it. ",They didn't give details on how the kid died or what happened. The dude could have been drunk and run over him in a car for all I know. Islam does not work in western culture. American values and Sharia law don't fit. I also don't buy most of the refugee garbage. ,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,PHIM,
I think that the perpetrator had it coming.  When it comes to the harm of a child I believe in an eye for an eye.,"I do not understand why someone would want to kill an innocent child.  The punishment should be death, no exceptions.",0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,DOOS,
The alleged perpetrator deserve to be attacked.  People were angry that he killed a child so that why they attacked him.,I think the person who killed the child must have mental problems. I feel sorry for the child’s family because their child is dead.,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,PNAV,
I feel a great deal of sadness for the loss of the innocent child but also a bit of relief that the suspect was beaten up by the public as well.,"I feel an extreme amount of sadness for the loss of life of a child, but I also feel a bit proud that the bystanders tracked down the suspect and beat him up.",0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,XSMQ,
"Was this a matter of mob psychology? Who started the revenge, what was it really based on? Was this a matter of a person of the wrong backbround being in the wrong place? There are so many questions to be investigated that there is no way to have ""justice"" for either side at this point.",I think the thing that comes to my mind more than anything is what kind of person kills a child and where were the parents when this happened. What was the child doing. Why was the alleged perpetrator actually beaten? Was he really the person who killed the child or was this a mob reaction to a person at the wrong place at the wrong time?,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,YQW8,
"I was very upset by the attack of the perpetrator.  I understand why the did it, but I do not think it was justified.  It was not justice. ","I thought that the article described a very savage group.  I am not sure if justice was served.  I am troubled by the killing of the child, but also by the groups reaction.",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,MMH7,
"While it is extremely wrong what he did, two wrongs don't make a right.  The people who beat him are also guilty of assault and should be tried.",It is horrifying to me that anybody would murder another person.  It's especially heinous to do that to a child.,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,WKP3,
i am not big fan of vigilante justice and the public taking part in the killing of the man. i think we have laws for a reason.,i think it is horrible that this refugee would kill a child. Not sure on the motive of this killing by him.,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,VYXI,
I can understand why the local residents beat up the alleged perpetrator. I know they should have left the matter to law enforcement.  But I can understand their emotions,This was just horrific. No one should kill a defenseless child or a defenseless animal. I understand why local residents beat up the perpetrator,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,OIG9,
I wonder how those people knew the perpetrator. How did they happen to be on the spot and able to find and attack the perpetrator. There is a lot I do not know about the situation.,I wonder about the rest of the story. There is more to this than what I just read. I want to know the complete facts about what happened and why. ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Q1GP,
"I am glad they beat him and attacked him because like I said before, nothing can justify the murder of a child and sometimes impromptu justice must be served by the public before a trial is performed.",I have no idea why someone would perform such an act. There can be no motive good enough to kill a child. The man must have completely deserved the beating and it was justified.,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,QMI0,
