StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3_7,Q3_8,Q4,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Q5_7,Q5_8,Q5_9,Q6,Q7,Q8,Q9,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,Q10_7,Q10_8,Q11,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q12_8,Q12_9,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,SC0,MTurkCode,Bots,Q8 - Sentiment Polarity,Q8 - Sentiment Score,Q8 - Sentiment,Q8 - Topics
2018-12-07 19:17:20,2018-12-07 19:23:19,IP Address,71.255.233.254,100,359,True,2018-12-07 19:23:20,R_2PvSw1IxQJcuHvv,,,,,38.90240478515625,-76.9900970458984375,anonymous,EN,EMFO,Not at All,Not at All,Not at All,Not at All,Not at All,Not at All,Not at All,Not at All,I thought the story sounded fake as hell in all honesty. It was pretty obvious.,Completely Unjustified,Completely Unjustified,Completely Unjustified,Very Justified,Completely Justified,Very Justified,Very Justified,Very Justified,Very Justified,Completely Support,Somewhat Support,Television,4,Not at all,Strongly,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Even though the story less likely fake it was good to see the suspect get the much needed ass kicking he deserved.,Completely Justified,Completely Unjustified,Completely Unjustified,Completely Unjustified,Completely Unjustified,Completely Unjustified,Completely Unjustified,Completely Unjustified,Completely Unjustified,Very Willing,About once a week,Between 30 minutes and 1 hour,Moderately Increase,No Change,No Change,No Change,Somewhat Disapprove,Homicide,IM_cGy1dP3FBZG8SXj,,131,80444124,,,,,
2018-12-07 19:19:39,2018-12-07 19:23:43,IP Address,73.40.40.36,100,244,True,2018-12-07 19:23:44,R_1P6OlRNYpxOGNja,,,,,38.077392578125,-78.90350341796875,anonymous,EN,GAXN,Strongly,Not at All,Moderately,Slightly,Not at All,Not at All,Not at All,Not at All,"I think it's horrible anyone would kill a child. As bad as the video must have been, I'm glad that the guy at least got something that he deserved. That is karma in action.",Completely Unjustified,Very Justified,Very Unjustified,Somewhat Justified,Completely Justified,Somewhat Justified,Somewhat Unjustified,Very Unjustified,Completely Unjustified,Strongly Oppose,Somewhat Oppose,Kitchen appliance,3.50,Slightly,Moderately,Not at all,Not at all,Not at all,Not at all,Not at all,Slightly,"Mixed emotions on my part. It's kind of bad that people went and just beat him horribly. However, he killed a child and so he honestly got what he deserved. ",Completely Unjustified,Very Justified,Very Justified,Somewhat Justified,Very Unjustified,Completely Unjustified,Completely Unjustified,Completely Unjustified,Completely Unjustified,Somewhat Unwilling,Several times per month,Less than 5 minutes,Slightly Increase,Greatly Decrease,Greatly Decrease,No Change,Strongly Disapprove,Homicide,IM_e4LIm2S0u1OCEMB,Nope,119,41595123,,,,,
2018-12-07 19:19:58,2018-12-07 19:24:56,IP Address,72.198.74.135,100,297,True,2018-12-07 19:24:56,R_2ATgNOSIFRGOCyC,,,,,35.487396240234375,-97.57399749755859375,anonymous,EN,AU0O,Slightly,Not at All,Moderately,Slightly,Not at All,Not at All,Slightly,Not at All,It is always a terrible thing when children are murdered. Mental illness or rage either way it is a sad thing,Completely Unjustified,Somewhat Unjustified,Very Unjustified,Somewhat Justified,Somewhat Justified,Completely Unjustified,Completely Unjustified,Completely Unjustified,Completely Unjustified,Completely Oppose,Somewhat Oppose,Kitchen appliance,2.50,Slightly,Not at all,Moderately,Slightly,Not at all,Slightly,Slightly,Not at all,"It is understandable but still barbaric. The perpetrators must be punished too to prevent such vigilantism. ",Completely Unjustified,Neither Justified nor Unjustified,Somewhat Justified,Somewhat Justified,Neither Justified nor Unjustified,Completely Unjustified,Completely Unjustified,Completely Unjustified,Completely Unjustified,Completely Unwilling,Several times per month,Less than 5 minutes,No Change,Slightly Increase,Moderately Increase,Greatly Decrease,Completely Disapprove,Homicide,IM_e4LIm2S0u1OCEMB,no,108,56740594,,,,,
2018-12-07 19:15:49,2018-12-07 19:25:00,IP Address,107.77.248.42,100,550,True,2018-12-07 19:25:00,R_Zlz5XPBAEsPfIel,,,,,32.900299072265625,-84.06259918212890625,anonymous,EN,WKSL,Strongly,Not at All,Strongly,Extremely,Not at All,Moderately,Slightly,Not at All,"It makes me stomach turn. I don't understand, as a father I can't see why anyone would ever want to hurt a child. Sure, they can be a pain in the butt at times but they are kids, it's what they do. If it were one of my children I would have wanted to take the perpetrator's life with my own hands but I would also have wanted to have been certain the alleged perpetrator was indeed guilty before doing so, though I would not have actually done it because my other two children need me at home and not in prison.",Completely Unjustified,Completely Unjustified,Completely Unjustified,Completely Unjustified,Completely Justified,Very Justified,Completely Justified,Completely Justified,Completely Justified,Somewhat Oppose,Strongly Oppose,Mobile phone,$5,Not at all,Strongly,Moderately,Not at all,Slightly,Not at all,Moderately,Not at all,"If he was guilty then he deserved much worse than what he got. However, there is no way to be sure until you are sure that it was him that took the child's life.",Very Unjustified,Very Justified,Very Justified,Somewhat Justified,Very Unjustified,Completely Unjustified,Completely Unjustified,Completely Unjustified,Completely Unjustified,Somewhat Unwilling,A few times a year,Between 15 and 30 minutes,Moderately Increase,Moderately Increase,No Change,No Change,Strongly Disapprove,Homicide,IM_6LjlZqmt6P2KfSl,Thank you for the HIT.,141,86785689,,,,,
2018-12-07 19:19:33,2018-12-07 19:25:34,IP Address,206.123.141.93,100,361,True,2018-12-07 19:25:35,R_2qjIcqoqEhCLrCO,,,,,37.77490234375,-122.419403076171875,anonymous,EN,9Y88,Moderately,Not at All,Slightly,Moderately,Not at All,Not at All,Not at All,Not at All,"It's absolutely terrible that this child was murdered. If the man that was accused is the right person, then he got what he deserved.",Completely Unjustified,Completely Justified,Completely Unjustified,Completely Justified,Somewhat Justified,Somewhat Justified,Very Unjustified,Very Unjustified,Very Unjustified,Somewhat Support,Strongly Oppose,None of the above,3,Not at all,Slightly,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,"Initially, I thought he totally deserved a beating plus more. But now I'm starting to wonder if the guy might be falsely accused and people were too quick to act.",Somewhat Unjustified,Very Justified,Somewhat Justified,Somewhat Unjustified,Completely Unjustified,Completely Unjustified,Completely Unjustified,Completely Unjustified,Completely Unjustified,Completely Unwilling,A few times a year,Between 5 minutes and 15 minutes,No Change,No Change,Moderately Increase,Moderately Decrease,Strongly Disapprove,Homicide,IM_6LjlZqmt6P2KfSl,No thanks.,111,33284310,,,,,
2018-12-07 19:22:07,2018-12-07 19:28:35,IP Address,184.103.52.120,100,387,True,2018-12-07 19:28:35,R_vZY8h4y6Lqnbf2h,,,,,33.5590972900390625,-112.13320159912109375,anonymous,EN,49KM,Not at All,Not at All,Extremely,Strongly,Not at All,Not at All,Not at All,Not at All,"It was the last thing I wanted to read about, honestly.  That's the worst kind of crime largely.  I felt disgusted and devastated.  ",Completely Unjustified,Completely Unjustified,Completely Unjustified,Very Justified,Completely Justified,Neither Justified nor Unjustified,Neither Justified nor Unjustified,Neither Justified nor Unjustified,Neither Justified nor Unjustified,Completely Oppose,Completely Oppose,Mobile phone,3.00,Moderately,Not at all,Moderately,Strongly,Not at all,Slightly,Moderately,Not at all,"It's wrong, ignorant and mob-mentality to act this way.  The crowd isn't the judge and jury and we don't just bring about our own ""justice"" denying someone their rights to the whole justice process.  I feel disgusted, hurt, dismayed and angry at the mob.  ",Completely Unjustified,Completely Unjustified,Completely Unjustified,Very Justified,Somewhat Justified,Completely Unjustified,Completely Unjustified,Completely Unjustified,Completely Unjustified,Completely Unwilling,Several times per month,Between 5 minutes and 15 minutes,No Change,No Change,No Change,No Change,Completely Disapprove,Homicide,IM_6LjlZqmt6P2KfSl,no,115,73955027,,,,,
2018-12-07 19:13:30,2018-12-07 19:29:29,IP Address,216.107.59.209,100,958,True,2018-12-07 19:29:29,R_2z8yt2aOi1C5GBX,,,,,37.751007080078125,-97.82199859619140625,anonymous,EN,NEBJ,Strongly,Strongly,Moderately,Moderately,Strongly,Moderately,Moderately,Moderately," A systematic review of 9431 studies derived from 18 databases led to the inclusion of 126 studies after double screening. All included studies reported a number or proportion of child homicides perpetrators. 169 countries and homicide experts were surveyed in addition. The median proportion for each perpetrator category was calculated by region and overall and by age groups and sex",Neither Justified nor Unjustified,Very Justified,Completely Justified,Completely Justified,Very Justified,Somewhat Justified,Somewhat Justified,Very Justified,Completely Justified,Completely Support,Strongly Support,Mobile phone,10,Extremely,Extremely,Strongly,Strongly,Extremely,Moderately,Extremely,Moderately,"According to a family member, the attack on Hamer was actually intended for his cousin, Belinda Bourne called ‘Nicky’, the 25 year-old mother of Thom’s two children, aged one and five.
The relative explained that Bourne had recently severed the relationship with the man “because he’s not working and providing for his children,” resulting in him being asked to remove from the home.
She said that with his removal came steady threats where Thom would claim that he is “coming with cutlass to kill her (Bourne) and her two children and then kill himself.”",Somewhat Justified,Very Justified,Very Justified,Completely Justified,Very Justified,Completely Justified,Completely Justified,Somewhat Justified,Very Justified,Completely Willing,Several times per week,Between 15 and 30 minutes,Moderately Increase,Moderately Increase,Greatly Increase,Slightly Increase,Strongly Approve,Arson,IM_6LjlZqmt6P2KfSl,NOTHING,232,9765734,Bot,,,,
2018-12-07 19:20:08,2018-12-07 19:30:22,IP Address,99.158.31.30,100,613,True,2018-12-07 19:30:23,R_2OYATGxbH7DVYwQ,,,,,25.8520965576171875,-80.182098388671875,anonymous,EN,G4UF,Not at All,Not at All,Moderately,Slightly,Not at All,Not at All,Not at All,Not at All,Its sad when a child loses their life due to a person being sick.  If I can be there to protect that child I would had with my life.  Sames goes for any young victim.,Somewhat Unjustified,Neither Justified nor Unjustified,Somewhat Unjustified,Somewhat Unjustified,Very Unjustified,Somewhat Justified,Somewhat Unjustified,Neither Justified nor Unjustified,Somewhat Justified,Neither Support nor Oppose,Somewhat Oppose,Mobile phone,3.00,Not at all,Not at all,Moderately,Slightly,Not at all,Not at all,Not at all,Not at all,"I feel very sad to read about things like this, show that we still live in the dark age.  sometimes you are not safe and death is right around the corner.",Very Unjustified,Very Unjustified,Very Unjustified,Very Unjustified,Very Unjustified,Very Justified,Very Unjustified,Very Unjustified,Somewhat Justified,Very Unwilling,A few times a year,Between 5 minutes and 15 minutes,Slightly Increase,No Change,No Change,Slightly Increase,Somewhat Approve,Homicide,IM_e4LIm2S0u1OCEMB,I do not remember title saying homicide or anything else in those choices,123,25431542,,,,,
2018-12-07 19:26:00,2018-12-07 19:30:35,IP Address,174.85.45.96,100,274,True,2018-12-07 19:30:35,R_1LAU3VWa2E9xvzo,,,,,34.1678009033203125,-118.1260986328125,anonymous,EN,3FUU,Slightly,Not at All,Moderately,Moderately,Not at All,Not at All,Slightly,Not at All,"I felt sad and i felt angry that people dealt with it so brutally, although i also understood why they did it. I wondered if the guy they beat really did the crime.",Completely Unjustified,Somewhat Justified,Very Justified,Very Justified,Somewhat Justified,Completely Unjustified,Completely Unjustified,Completely Unjustified,Completely Unjustified,Completely Oppose,Completely Oppose,None of the above,40,Slightly,Not at all,Moderately,Moderately,Not at all,Not at all,Moderately,Not at all,I felt like we should deal with this in a court but i also understood why people wanted to do that. I wondered if the guy really did it or if they had the wrong person.,Somewhat Unjustified,Somewhat Justified,Very Unjustified,Completely Unjustified,Completely Unjustified,Completely Unjustified,Completely Unjustified,Completely Unjustified,Completely Unjustified,Completely Unwilling,A few times a year,Between 5 minutes and 15 minutes,Slightly Decrease,Moderately Increase,No Change,Greatly Decrease,Completely Disapprove,Homicide,IM_6LjlZqmt6P2KfSl,,99,79974068,,,,,
2018-12-07 19:18:03,2018-12-07 19:30:47,IP Address,216.7.112.62,100,764,True,2018-12-07 19:30:48,R_Av0ZIIfOaLB4oG5,,,,,42.293304443359375,-121.81689453125,anonymous,EN,ZIPE,Moderately,Not at All,Strongly,Strongly,Not at All,Not at All,Moderately,Not at All,"I think that this is really horrubke that people attack this man he should be punished by the courys and rot in prison ",Completely Unjustified,Completely Unjustified,Completely Unjustified,Completely Justified,Completely Justified,Somewhat Justified,Neither Justified nor Unjustified,Neither Justified nor Unjustified,Neither Justified nor Unjustified,Completely Oppose,Completely Oppose,None of the above,4,Strongly,Not at all,Slightly,Strongly,Not at all,Not at all,Slightly,Not at all,I realky think that this person needs justice and tgat he shoukd be punished for what he has done,Somewhat Justified,Very Justified,Neither Justified nor Unjustified,Very Unjustified,Completely Unjustified,Completely Unjustified,Completely Unjustified,Completely Unjustified,Completely Unjustified,Somewhat Unwilling,Several times per month,Between 30 minutes and 1 hour,No Change,Slightly Decrease,No Change,Slightly Decrease,Completely Disapprove,Homicide,IM_e4LIm2S0u1OCEMB,,125,30260639,,,,,
2018-12-07 19:06:08,2018-12-07 19:30:48,IP Address,67.164.179.247,100,1480,True,2018-12-07 19:30:49,R_21tBFMYLE41O66y,,,,,39.731201171875,-104.91290283203125,anonymous,EN,ERYI,Moderately,Not at All,Strongly,Strongly,Not at All,Not at All,Moderately,Not at All,It's absolutely horrible that anyone would harm a child in any way. If the man is found guilty of killing the child he should be put on death row.,Completely Unjustified,Completely Unjustified,Completely Unjustified,Completely Justified,Very Justified,Completely Justified,Completely Justified,Completely Justified,Completely Justified,Strongly Support,Completely Oppose,Mobile phone,3.00,Not at all,Not at all,Not at all,Slightly,Not at all,Not at all,Not at all,Slightly,I thought the attack on the alleged perpetrator was out of line because the man hadn't had his day in court yet. What if it turned out he was innocent? People should let law enforcement do there jobs and not overreact in these type of situations.,Neither Justified nor Unjustified,Completely Justified,Very Justified,Completely Unjustified,Completely Unjustified,Completely Unjustified,Completely Unjustified,Completely Unjustified,Completely Unjustified,Completely Unwilling,Several times per month,Less than 5 minutes,No Change,No Change,Slightly Decrease,No Change,Completely Disapprove,Homicide,IM_6LjlZqmt6P2KfSl,No.,130,27622212,,,,,
2018-12-07 19:24:04,2018-12-07 19:32:18,IP Address,108.196.136.202,100,493,True,2018-12-07 19:32:18,R_338Zzj4y7fPdjcW,,,,,29.03570556640625,-95.33789825439453125,anonymous,EN,G7V7,Strongly,Moderately,Strongly,Strongly,Not at All,Moderately,Moderately,Not at All,I felt saddened by the tragedy but at the same time happy about the perpetrator getting what he deserved for the heinous crime he committed against that child's life.,Completely Unjustified,Completely Unjustified,Completely Unjustified,Completely Justified,Completely Justified,Very Justified,Very Justified,Very Justified,Somewhat Justified,Somewhat Support,Somewhat Oppose,Television,2.50,Strongly,Moderately,Strongly,Strongly,Moderately,Moderately,Moderately,Not at all,I felt saddened about the loss of life but also happy about the perpetrator getting what he dserved for the atrocious crime he committed agqainst a child's life.,Completely Unjustified,Completely Unjustified,Completely Unjustified,Completely Justified,Completely Justified,Very Justified,Very Justified,Very Justified,Somewhat Justified,Somewhat Unwilling,About once a month,Between 5 minutes and 15 minutes,Moderately Increase,Slightly Increase,Slightly Increase,No Change,Neither Approve nor Disapprove,Homicide,IM_6LjlZqmt6P2KfSl,enjoyed.,176,85492498,,,,,
2018-12-07 19:31:02,2018-12-07 19:34:48,IP Address,71.163.166.35,100,226,True,2018-12-07 19:34:49,R_22CYWwJZ5NFXQ3z,,,,,39.087005615234375,-77.167999267578125,anonymous,EN,LGS5,Moderately,Not at All,Extremely,Extremely,Not at All,Slightly,Slightly,Not at All,"I was absolutely horrified by the information in the article. This is far from anything you hear about that's bad in the news on a daily, weekly, or even yearly basis.",Completely Unjustified,Completely Justified,Completely Unjustified,Completely Justified,Completely Justified,Somewhat Justified,Somewhat Justified,Somewhat Justified,Somewhat Justified,Somewhat Oppose,Completely Oppose,Mobile phone,4 dollars,Strongly,Not at all,Extremely,Extremely,Not at all,Extremely,Slightly,Not at all,It is absolutely terrible to know that someone out there in the world is actually capable of doing such a thing.,Completely Unjustified,Completely Justified,Completely Unjustified,Completely Justified,Completely Justified,Very Justified,Somewhat Justified,Somewhat Justified,Somewhat Justified,Somewhat Willing,About once a week,Between 5 minutes and 15 minutes,No Change,Slightly Increase,Slightly Increase,No Change,Completely Disapprove,Homicide,IM_cGy1dP3FBZG8SXj,Thank you for giving me the opportunity to participate in this study.,173,97420485,,,,,
2018-12-07 19:31:47,2018-12-07 19:37:38,IP Address,47.41.27.93,100,351,True,2018-12-07 19:37:38,R_2ZOjFbV5R9cMjsG,,,,,33.7819976806640625,-118.183502197265625,anonymous,EN,RY17,Extremely,Not at All,Extremely,Extremely,Not at All,Extremely,Extremely,Not at All,I feel like there are too many people that are just evil and are free out in the world. We need to find a way to get rid of them but what way can that be possible is what I ask myself?,Completely Unjustified,Completely Justified,Completely Unjustified,Completely Justified,Completely Justified,Very Unjustified,Completely Justified,Somewhat Unjustified,Completely Justified,Completely Support,Completely Support,None of the above,2.99,Extremely,Moderately,Not at all,Extremely,Not at all,Not at all,Not at all,Moderately,It is quite disgusting and honestly I kept trying to think positive thoughts to not picture so much violence. I feel like that is the most I felt while reading this.,Completely Unjustified,Completely Unjustified,Completely Unjustified,Completely Unjustified,Completely Unjustified,Completely Unjustified,Completely Unjustified,Completely Unjustified,Completely Unjustified,Completely Willing,Several times per month,Between 15 and 30 minutes,No Change,No Change,No Change,No Change,Neither Approve nor Disapprove,Homicide,IM_e4LIm2S0u1OCEMB,nothing else,154,66514352,,,,,
2018-12-07 19:30:21,2018-12-07 19:38:33,IP Address,68.97.217.240,100,491,True,2018-12-07 19:38:33,R_2Yli8mkNbR1HRyh,,,,,35.3791961669921875,-97.53620147705078125,anonymous,EN,JKJ1,Extremely,Not at All,Extremely,Extremely,Not at All,Not at All,Slightly,Not at All,I was angry that anyone would kill a child and/or hurt them. I don't blame the person who attacked him. Maybe if people knew there would be a punishment for their actions this type of behavior would stop.,Completely Unjustified,Completely Unjustified,Completely Unjustified,Completely Justified,Completely Justified,Completely Justified,Completely Justified,Completely Justified,Completely Justified,Somewhat Support,Somewhat Support,Television,1,Not at all,Strongly,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,I think that he got what he deserved. It's not enough though. He should be punished by the law.,Completely Justified,Completely Justified,Completely Unjustified,Completely Unjustified,Completely Unjustified,Completely Unjustified,Completely Unjustified,Completely Unjustified,Completely Unjustified,Completely Willing,About once a week,Less than 5 minutes,Moderately Increase,Greatly Decrease,Greatly Decrease,Moderately Increase,Strongly Approve,Homicide,IM_6LjlZqmt6P2KfSl,none,149,15523324,,,,,
2018-12-07 19:30:08,2018-12-07 19:41:05,IP Address,190.40.250.254,100,656,True,2018-12-07 19:41:05,R_2ffWRr2lWlIFCGU,,,,,-12.0500030517578125,-77.0500030517578125,anonymous,EN,BOBV,Moderately,Moderately,Strongly,Strongly,Strongly,Strongly,Moderately,Strongly,"i felt that child could have been my own child and it made me feel really angry and sad and it made me think u can never known people this man living for one year in this neighborhood it make me think that we have to be more carefull put more restrictions with the people we allow in the different districts and neighboardhoods , have some type of filter ",Neither Justified nor Unjustified,Somewhat Justified,Neither Justified nor Unjustified,Very Justified,Somewhat Justified,Somewhat Justified,Somewhat Unjustified,Neither Justified nor Unjustified,Somewhat Justified,Neither Support nor Oppose,Neither Support nor Oppose,Car,3.50,Extremely,Not at all,Extremely,Extremely,Not at all,Extremely,Strongly,Not at all,"this man probably is someone who doesnt have a social life who has mental problems and hasnt tried to do anything to fix it , he is a very sick person and prob one of his problems is anger ",Somewhat Unjustified,Somewhat Justified,Somewhat Justified,Somewhat Justified,Neither Justified nor Unjustified,Neither Justified nor Unjustified,Neither Justified nor Unjustified,Somewhat Unjustified,Somewhat Unjustified,Somewhat Willing,Several times per month,Less than 5 minutes,Slightly Increase,Slightly Increase,Slightly Increase,Slightly Decrease,Somewhat Disapprove,Homicide,IM_e4LIm2S0u1OCEMB,"i liked this study and i would have liked this better if somehow a video was included in it ",181,92692834,Foreign,,,,
2018-12-07 19:34:30,2018-12-07 19:42:40,IP Address,69.181.223.187,100,489,True,2018-12-07 19:42:40,R_2cckJLnhBfRXnzh,,,,,37.7812042236328125,-122.461395263671875,anonymous,EN,16IU,Slightly,Not at All,Slightly,Strongly,Not at All,Not at All,Not at All,Not at All,I think its a horrible tragedy. my heart goes out to the parents for having to go through that. I don't think anyone should have to suffer like that.,Completely Unjustified,Completely Unjustified,Completely Unjustified,Completely Justified,Completely Justified,Completely Justified,Somewhat Justified,Neither Justified nor Unjustified,Somewhat Justified,Strongly Oppose,Completely Oppose,Mobile phone,2.50,Moderately,Not at all,Slightly,Slightly,Not at all,Slightly,Slightly,Not at all,I really worry about vigilante justice. I don't think people should take the law into their own hands like that. This suspect deserves due process and trial. What if it turned out not to be the guy who killed the kid?,Very Unjustified,Neither Justified nor Unjustified,Somewhat Justified,Somewhat Justified,Somewhat Unjustified,Completely Unjustified,Completely Unjustified,Completely Unjustified,Completely Unjustified,Very Unwilling,About once a month,Between 5 minutes and 15 minutes,No Change,Slightly Decrease,No Change,No Change,Completely Disapprove,Homicide,IM_e4LIm2S0u1OCEMB,I wasn't paying as much attention to the quantity of the likes. I was looking more at the content of what they said.,122,88650767,,,,,
2018-12-07 19:41:27,2018-12-07 19:45:10,IP Address,98.127.2.151,100,223,True,2018-12-07 19:45:11,R_2PdGfNplnchfMb9,,,,,38.467803955078125,-107.8751983642578125,anonymous,EN,DFXJ,Moderately,Not at All,Extremely,Strongly,Not at All,Strongly,Not at All,Not at All,"The homicide is disgusting. Both the attack on the man and the child. The man, even if he was the one who did it, deserved to be judged by the court, not by a bunch of individuals.",Completely Unjustified,Completely Unjustified,Completely Unjustified,Completely Justified,Completely Justified,Somewhat Unjustified,Completely Unjustified,Completely Unjustified,Completely Unjustified,Completely Oppose,Completely Oppose,None of the above,2.50,Slightly,Not at all,Slightly,Slightly,Not at all,Slightly,Not at all,Not at all,"I thought the act was disgusting. Even if he did do it, he did not deserve to be attacked by civilians. Only the court should be able to judge him and sentence him accordingly.",Completely Unjustified,Completely Justified,Very Justified,Somewhat Justified,Completely Unjustified,Completely Unjustified,Completely Unjustified,Completely Unjustified,Completely Unjustified,Completely Unwilling,About once a month,Between 5 minutes and 15 minutes,Moderately Decrease,Slightly Increase,Slightly Increase,Slightly Decrease,Strongly Disapprove,Homicide,IM_cGy1dP3FBZG8SXj,thanks.,110,21215968,,,,,
2018-12-07 19:34:09,2018-12-07 19:47:35,IP Address,75.138.115.1,100,806,True,2018-12-07 19:47:35,R_2uTGYAMAoHQ18dx,,,,,34.726898193359375,-81.62020111083984375,anonymous,EN," IS6C",Strongly,Not at All,Strongly,Extremely,Not at All,Slightly,Not at All,Not at All,"It's awful, it makes you think what if this was my child. I just can not image losing my child. My heart goes out to this child's parents.",Completely Unjustified,Completely Unjustified,Completely Unjustified,Completely Justified,Completely Justified,Completely Justified,Completely Unjustified,Completely Justified,Completely Justified,Completely Support,Strongly Oppose,None of the above,3.00,Strongly,Not at all,Strongly,Extremely,Not at all,Slightly,Slightly,Not at all,I think the perpetrator got what they deserved. But things really should go through the courts and people be punished in the proper means. I do think the death sentence should be carried out a lot more often.,Somewhat Justified,Completely Justified,Completely Justified,Very Unjustified,Completely Unjustified,Completely Unjustified,Completely Unjustified,Completely Unjustified,Completely Unjustified,Somewhat Willing,About once a month,Between 5 minutes and 15 minutes,Greatly Increase,Greatly Decrease,Greatly Decrease,Greatly Increase,Completely Approve,Homicide,IM_6LjlZqmt6P2KfSl,no,151,10355312,,,,,
2018-12-07 19:35:34,2018-12-07 19:48:03,IP Address,72.198.1.168,100,748,True,2018-12-07 19:48:03,R_31Gf0EPE4vZNpEm,,,,,35.4718017578125,-97.2725982666015625,anonymous,EN,AX53,Extremely,Not at All,Extremely,Extremely,Not at All,Slightly,Moderately,Not at All,"It makes me wonder about the world when ever a child is abused or killed.  There is no reason to kill a child, chances are he has no money.  Part of me wants to agree with perp getting the beating he did, but you know the justice system needs to observed. ",Completely Unjustified,Completely Unjustified,Completely Unjustified,Completely Justified,Completely Justified,Somewhat Justified,Somewhat Justified,Somewhat Justified,Somewhat Justified,Completely Oppose,Completely Oppose,None of the above,1.50,Strongly,Not at all,Extremely,Strongly,Not at all,Moderately,Slightly,Not at all,"I'm sad that this sort of stuff happens.  The taking of a life, at time can be justified. But the taking of a child's life can never be justified. ",Somewhat Justified,Very Justified,Somewhat Justified,Completely Unjustified,Completely Unjustified,Completely Unjustified,Completely Unjustified,Completely Unjustified,Completely Unjustified,Somewhat Willing,Several times per month,Between 15 and 30 minutes,No Change,Slightly Increase,No Change,Moderately Decrease,Completely Disapprove,Homicide,IM_6LjlZqmt6P2KfSl,"Interesting, Really had me thinking about my own stance on a few things",138,96893292,,,,,
2018-12-07 19:46:27,2018-12-07 19:51:06,IP Address,70.163.48.130,100,279,True,2018-12-07 19:51:06,R_1PXjdXfgG5u6XSq,,,,,30.4589996337890625,-90.90270233154296875,anonymous,EN,O4AA,Strongly,Not at All,Strongly,Extremely,Not at All,Not at All,Slightly,Not at All,"I feel confused. I don't understand what would drive someone to harm a child. I feel sad for the family of the child. ",Completely Unjustified,Very Unjustified,Completely Unjustified,Completely Justified,Completely Justified,Neither Justified nor Unjustified,Neither Justified nor Unjustified,Neither Justified nor Unjustified,Neither Justified nor Unjustified,Somewhat Support,Completely Support,Car,3,Moderately,Moderately,Slightly,Slightly,Slightly,Not at all,Not at all,Slightly,"I completely understand why people attacked him, however I have mixed feelings about it. While it is justified, two wrongs don't make a right. ",Very Justified,Somewhat Justified,Very Unjustified,Completely Unjustified,Completely Unjustified,Completely Unjustified,Completely Unjustified,Completely Unjustified,Completely Unjustified,Very Unwilling,About once a month,Between 5 minutes and 15 minutes,No Change,Moderately Increase,Moderately Increase,Moderately Decrease,Completely Disapprove,Homicide,IM_e4LIm2S0u1OCEMB,,135,57631451,,,,,
2018-12-07 19:46:05,2018-12-07 19:55:47,IP Address,68.119.32.86,100,582,True,2018-12-07 19:55:48,R_9B7Fn9tasBXp8B3,,,,,35.757598876953125,-81.3289031982421875,anonymous,EN,3D8W,Not at All,Not at All,Extremely,Moderately,Not at All,Slightly,Slightly,Not at All,"I feel that this was a very tragic event that cannot be solved with violence in return. While it is highly understandable, it is important to allow the legal process to proceed as we have designed in our society. I still can understand the urges to take justice into our own hands when a child has been killed. It is a very human reaction. However, we also have to control ourselves or else we end up in an uncivilized society. Regardless, the anger is understandable beyond words.",Completely Unjustified,Completely Justified,Completely Unjustified,Very Justified,Completely Justified,Somewhat Unjustified,Somewhat Unjustified,Completely Unjustified,Neither Justified nor Unjustified,Completely Oppose,Somewhat Oppose,Kitchen appliance,5 dollars,Not at all,Not at all,Extremely,Slightly,Not at all,Not at all,Moderately,Not at all,"I feel that the attack on the perpetrator, if one were to assume it was appropriate, is premature. We have set up society so that people must go through a trial. Unless someone witnessed him do it personally, and again assuming it was appropriate, only then would it make sense. Unfortunately, in this case, while the accusation is very sad it is not appropriate to attack other people let alone torture them. That is uncivilized behavior that will set us back as a society. I can understand their anger and retaliation from an emotional standpoint.",Completely Unjustified,Completely Justified,Somewhat Justified,Very Unjustified,Completely Unjustified,Completely Unjustified,Completely Unjustified,Completely Unjustified,Completely Unjustified,Somewhat Unwilling,Every day,Between 5 minutes and 15 minutes,No Change,Slightly Decrease,Slightly Decrease,Slightly Decrease,Somewhat Approve,Homicide,IM_e4LIm2S0u1OCEMB,Good luck with your research.,129,9952940,,,,,
