react_hom,react_mob,survey_code,cog_dissonance,fake_news,info_seeking,racism_hate,social_desirability,violence,lethal,extrajudicial,dehumanizing,demonizing,group,ingroup,anger,disgust,sadness,fear,anxiety
Very sad and angry that a child was killed. I did feel anger towards the person that committed the killing but I am not 100% sure that this is the person that committed the crime. If it was my child I would beat the attacker with my own hands.,I think I would have the same reaction if this incident happened in my community. I think the person needs to go through legal methods and we should not take it upon ourselves to take justice into our own hands.,DAHI,1,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0
"Children are killed every single day around the world. I've become desensitized to reading about violent acts like these. Once I was introduced to the concept of veganism and recognized the sheer level of horrors humans perpetrate on a daily basis, it became impossible to individually care about single deaths. The animal holocaust takes billions of lives every day. If I cried for every single sentient being who was brutally murdered by monsters, I'd never stop.","Again, I'm desensitized to evil acts since I'm surrounded by so many every day. I just saw it as another example of conservatives doing what they do best--finding someone who's different from them, hating that person, and hurting that person. I'll also note here that ""alleged"" does not mean guilty, but it seems as if you're using those words interchangeably. On earlier pages, I find no punishment to be appropriate for an ""alleged"" perpetrator. I only find punishments appropriate for those who are found guilty in a fair trial.",YUEW,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
"I only wonder what reason the person had for killing the child. It felt good knowing the community members were looking out for the kid, as the guy was beaten immedietely, which is how it should be.",It felt great knowing that the community had the back of the kid. I think it is great that someone committing such a terrible act had to deal with the citizens of the community immedietely. I wish something like this happened for every homicide.,QT9W,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
"IT IS HORRIBLE TO HEAR OF CHILDREN BEING HARMED IN ANY WAY, AND I FEEL THE HIGHEST SYMPATHY FOR THEIR FAMILIES. I DIDN'T LIKE THE FACT THAT THE MANS CRIME WAS LABELED WITH A RELIGION, THAT HAS NOTHING TO DO WITH WHAT HE DID.",THE PEOPLE THERE DID WHAT THEY FELT WAS NECESSARY TO DETAIN THE MAN. HE DESERVED TO BE HIT.,D7QL,0,0,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0
"My reactions about this were that I wish that people would stop trying to bring in people whose ideals don't go well with our own. It is a horrible thing that this has happened, I hope that this incident will make people more aware of whose around them.","I am glad that there are people who are willing to go out of their way to try and solve a problem that no one else is willing to. The attack made me happy, even moreso the fact that while they severely injured him, he was still able to be tried as a criminal.",0ACI,0,0,0,0,0,1,0,1,0,1,1,1,0,1,1,0,0
"It makes me sick to my stomach that we have people like that walking among us. I try not to, but I can't help but think about what that poor child must have gone through. Bless this child.","People need to let the law, and those chosen to uphold the law take care of this scumbag. It is not right to attack someone like that. Especially when they have not yet been charged. Although, I COMPLETELY understand their uncontrollable anger. The man probably deserved to have been beaten. But we don't know that yet.",AQIZ,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0
It made me upset to think someone could kill a child like this. I wanted to know what his punishment would be. I also wanted to know what caused this.,"I felt a little anxious about the attack. While I understand why the attackers would be angry, I think the punishment should be handled in a court of law. I also wondered if there were any racial motivations.",QIEW,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1
"I cannot even fathom how someone could consider killing another human being, let alone a child!  That is completely unconscionable and I hope the true perpetrator is in jail for the remainder of their life.  As a parent this is a very upsetting story to read.",My immediate concern was that the people who attacked the perpetrator might not have targeted the correct person.  If that were the case then it would have been a terrifying and disgusting assault.  It is best to allow the police to detain someone and investigate the crime before any punishment is leveled on the individual as this better ensures that justice is properly served.,GO70,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0
"Horrified and disgusted, simply unbelieving that a person would harm an innocent little human being like this. I am just so sad and angry and upset about it.",I think it was not justified because the law needs to deal with the perp and not citizens. This is not street justice and that does not help us as a society to take pleasure in this kind of act.,DQZR,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0
It is awful that an innocent child lost their life because of a crazy sick excuse of a human being. The poor child had no way to defend his self and had to suffer a horrible death because of a monster.,"I can understand why the people attacked the perpetrator and their frustration. To know that a poor innocent child was tortured and brutally killed at the hands a an adult and had no way of defending his self is awful, I understand way the people wanted to attack the perpetrator ",KJTE,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0
I felt sadness and fear that this has become the world that we now live in and the thought that our children have to live in such fear and troubling times breaks my heart. My heart goes out to the family and friends of this child.,I am somewhat appaled that they would attack a person before he is arrested and found guilty of killing the child but then on the other hand I can understand their anger and grief. I to believe that if someone harmed or hurt one of my children or grandchildren that I would want revenge on the person.,O8Y8,1,0,0,0,0,1,0,1,0,0,0,1,0,1,1,1,1
"It is horrible to think of the killing of a child.  Who did it plays into it somewhat, but the the act
itself is horrific.","Seems like this is a repeat of what was asked before.  Are you asking about the attack by or
on the alleged perpetrator?  The attack by was horrific.  The attack on is understandable but
not acceptable behavior.",COP7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
I wonder why the man killed the child. I am not surprised by the vigilante justice that the people in the town committed.,I am not surprised that people in the town committed vigilante justice against the perpetrator. The story noted that he is muslim but I am not sure why that is relevant to the story at all.,WU5H,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"This is so very upsetting and  disgusting.  I don't know why in the world anyone could do such a horrible thing.  Aside from if your own life is in danger, murder is never forgivable.  ","It is understandable that if the people witnessed the perpetrator murder the child, that they would be so upset to be driven to do such a thing.  I believe an eye for eye.  He should suffer the same sort of horrible death his victim suffered, or worse.",ACH0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0
"Why would anybody kill a child? Children are innocent and even the ""bad"" children just need to be led in the right direction. I think that only human garbage would kill a child and they are undeserving of life.",Why would anybody kill an innocent child? Anybody who would do such a thing deserves nothing less than death. There is no justification for killing a child.,DTRT,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0
"sadness, fear, anger, outrage, horror, shock, unthinkable, grief, lonliness, rage, hurt, pain, grossed out, why, questions, uncertainty, justice, thoughts, prayer, punishment","mob scene, people taking matters in to their own hands, vigilante justice, fear, anger, sadness, due process, police, court system",BBQD,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
My reactions are of disgust! Why would any one do this type of thing to another person. something more should be done.,my reactions is that something more should be done. I dont know what exactly should be done. but this is unacceptable.,UNBA,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
I am absolutely disgusted that multiple adults could do this to a child. I really hope that they are locked away for the rest of their lives to rot.,"While I understand how someone would want to beat the perpetrator for what they did I do not agree that people should take justice into their own hands like that. The perp should be placed in jail, given a trial and then sentenced affording to the law. ",6DAL,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
It is the most horrible thing that can be done in society. It is truly horrifying and should be prosecuted Justice.,It was calculated with malice intent. The attacker knew the victim I believe and it was not an accident by any imagination.,UDCK,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0
I think that children are completely innocent and deserve to be protected. This man who killed the child does not deserve to be alive in my opinion.,"I think that people are justified in their anger. When a defenseless child is hurt it can bring about emotions that are stronger than ever. Mob mentality can be bad, however, if they have the wrong person.",DUSJ,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
No child deserves to me killed. I don't care what they have done. This makes me sick and I wish they had killed the man that did this instead of injuring him.,This man is a demon and should be killed in the most torteous way you can think of. There is no excuse for taking a childs life EVER.,SDME,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0
"I am assuming that the child was sexually assaulted as well, which probably was the reason for killing the kid so they wouldn't tell.  I think he should be given the death penalty.","If someone takes another person's life, all bets are off...they lost their right to be treated with civility.  Especially if that person is a child.",CGRD,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
This is such a normal thing that it literally doesn't make me feel anything. I know that this is probably not what you are looking for...but it's true. I see people dying on the news every single day...how can this be anything other than normal?,It's normal and I'm not surprised. The perpetrator should just be shot in the street and be done with it. Instead we are going to waste a ton of money for a trial.,KBW1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0
"Any time a child is murdered is a sad event, and especially so when the perpetrator is a refugee with different beliefs that the majority of the community.","My first reaction is kind of disgust at those who did it, because I don't know whether the man did it or not, I was not given any facts to let me know one way or another. ",G4D9,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0
"I was completely taken a back that someone would be so cruel as to murder a helpless child. I felt a great deal of anger about the individual who murdered the child, and felt some anxiety that. I experienced some fear, but not a whole lot, as I'm a great deal of distance away from this town and the possible perp. I did experience curiosity, because my mind cannot fathom what could possibly bring about the willingness to take another human beings life, let alone a child. I felt a great deal of disgust about the murder as well.","I felt it was completely unjustified mob justice. I don't know if this individual actually committed the crime, that's for a jury of his own peers to conclude on their own, but I know that no one should base their actions on blind rage, and thats what several of the local townspeople did to that man. They should be absolutely ashamed of themselves and their actions, they could have killed the man. I don't even think they remotely considered that he could be innocent.",N62V,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,1
"How could anyone want to hurt a child, wether you are white,black or muslim.There is something seriously wrong with those type of people and they shoulb be put away",Totally disgusting. What is wrong with people. I fear some of it has to do with their upbringing. Either they were abused themselves or mistreated.,ECEL,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
"It makes me super angry that a refugee did the attack on the child. He needs to be put in jail and left there for a really long time to suffer. Its digusting to me and he shouldn't be let out for a long, long time. ","He probably had it coming. While i'd never want something to happen to him from the police or government, what other people do out of retribution is fine by me. ",NFSU,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0
"I am shocked and I think the man who did it deserves exactly what he gets,children are inocent and should be protected it is horrendous what this man did and he should die",He deserved it. This man was scum and he should have never had the chance to walk away. that child deserved to live and he did not justice should get him and I hope he suffers,HWPL,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0
"First, I wondered if the article was real. Since I live in Ohio and hadn't heard of this I figured it wasn't. So while the thought of the actions made me upset, I didn't believe them so didn't give them much credence. I have had a child attacked and molested when he was barely a year old. It was more than 44 years ago. I'm still numb from the incident and never forgave for the incident. It leaves me numb. If that article is true then numb is what I feel.","If the article was true and the person attacked, well, maybe they ought to get used to it. It will happen where he is going as prisons don't care much for child molesters. That doesn't make it right. It is just what will happen.",EJ0G,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0
It's horrible of course.  Killing a child is the worst crime I can think of.  It's snuffing out a life that hasn't gotten to come close to living fully.  It's beyond disgusting.,Well I certainly had mixed emotions.  While sure there was a side of me that felt like it was what he deserved and was satisfied by what happened.  Most of me was horrfied though.  Mob justice isn't a good answer.  Two wrongs don't make a right.  What if it turns out the guy they beat wasn't the guy who killed the boy?  There's lots of problems with mob justice.,ZL6N,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0
I'm saddened that a crime was committed by an immigrant because I'm afraid it'll be held up for everyone to look at as a poor example. I also don't believe in vigilante justice.,I just did this? I'm sad that it was an immigrant and a Muslim because I'm afraid it'll be held up for everyone as an example and that it'll hurt relations. I don't believe in vigilante justice.,PHLA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
I thought that it was disgusting that someone would actually murder a child. I also thought that he deserved the worst punishment possible for the murder of the child.,I thought that it was a good thing that he was attacked since he murdered a child and deserves the worst punishment possible.,K4OS,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0
It was horrible and I wondered what led to the murder.   Was the adult man mentality ill?    What happened to make him do it?  Did he know the child?,It made me angry.  I understand that those people were upset justifying so however taking the law into their own hands is wrong.  Maybe there is a tiny chance the man didn’t commit the crime and they attacked the wrong person.  Violence toward another person never solves anything,KFUS,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0
"I was saddened to think that this story may be true, and weary of how the press may be reporting the details, including any biases. ","I mostly wonder if any of the perpetrators actually witnessed the murder, and if so, can more easily justify their actions.  I wonder if there is any actual proof that the accused committed the crime.  Though I understand taking the law into your own hands when a child is hurt, especially if it was your own child, I feel that we need to abide by laws of the land for prosecution and punishment.",BAE4,1,1,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0
Anyone who would kill a child for any reason has to be a reprehensible human being. There is almost nothing that a child could do to deserve such a fate.,"Even though the perpetrator did something horrific, I don't feel like the people who attacked him had any right to do so. I feel like the police should have been the only ones to take care of the situation.",RI6B,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
"I thought it was very sad and scary. I always fear for my children's safety in the world, and I also fear for those who choose to act against an entire race of people when one individual commits such a crime.","This is not an okay response. There is too much crime like this in the world these days, and our country would be a better place if such things were handled peacefully.",G6SR,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0
I was angry. Children are not born with hate or angry. They love and need love. Anyone that hurts a baby or child needs to be tortured and killed slowly,He makes me sick. He needs to be slowly killed in the most painful way possible. No one like this needs to be allowed to walk on the earth.,LVLY,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0
I hate that this kind of thing is all too common these days. The people who would hurt children are just monsters. The laws need to be tougher on child killers.,"I wish the police would have found him first, but he deserves anything that happens to him after what he did to that child.",HHA9,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0
"I am disgusted by this.  I am in unbeleif.  It is impossible for me to think of any reason a person would be so cruel to a child or another human being.  The man must have been seriously mentally ill.  I don't agree with how some of the towns people handled the guy who did this, but he deserves severe punishment.","I don't think that it was right for the people to attack him the way they did, although I do understand the anger of the attackers.  I think that things need to be done properly and the police and law system should do the appropriate punishing. I would be extremely angry at the perpetrator is he was in my community.  I am disgusted by his actions.",OC9Q,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
"I was very angry that a child lost it's life in a senseless way, this should not be any child or parent has to experience.","I don't think the locals should have beat after tracking him down but should have turned him over to the police. However, if it was the parent that tracked him down and beaten I would feel just fine about it.",K7MU,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
I feel bad for the parents. What they're going through is horrible. I'm glad the perpetrator was caught and handed over to the police.,The attack was understandable. Killing a child is a horrible crime and reaction to it was justified.,MJCG,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0
"I am glad that the dude got the shit kicked out of him, too bad they didn't finish the job and save tax dollars, time, and effort of those who have to get involved now.","Again, it is too bad that the crowd didn't finish the job and hold him accountable for his actions.  Now we have to spend time and money dealing with him in the hospital and court.  ",OBPE,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0
I think it's a horrible thing to happen.  To have a grown adult murder an innocent child is absolutely disgusting.  He is a monster!,"I hate to say it, but he deserved it.  I know that's not the way of our land, but sometimes people are frustrated with our justice system (or lack of it) that they may want to carry out mob justice.  I know it's not right.......",3MUO,1,0,0,0,0,1,0,1,1,1,0,1,0,1,1,0,0
"I find it very disturbing that a person has hatred like that to murder a helpless victim, like a child. With the rise of social media and the internet, it has become more commonplace to hear about such despicable acts of violence like this.","The alleged perpetrator was lucky to be spared his life. I don't know if I could contain my rage on a piece of trash like that. I hope he is given the death penalty or if he escapes with a life sentence, I hope the other inmates of the prison finish what the community started and kill him.",KMZF,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,1,0
I have children myself and I cannot imagine anyone harming a child. For a person to do so he or she must be an extremely evil human being.,"I would feel just as the individual who attacked the perpetuator.  While I believe he should be given a fair and speedy trial, I doubt I could hold back from beating the perpetuator myself.",GYUZ,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
It is disgusting. I am horrified whenever I hear this type of news. There is no reason to end a life so soon.,"I feel the attacker deserved it and if it was my child, I am sure I would want this to happen in one way.",YJWC,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0
I thought that i'd be pissed if someone murdered my child. I would not be able to forgive them. I also felt sympathy toward the parents of the child.,I thought that is a weird response. I understand people's frustration but such retributive actions are not appropriate. Just lock the person up and be done wth it.,XKU3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"He deserved to get beaten in the street like an animal (I clicked ""like"" by the way, I hope it registered). I have not one iota of sympathy for scum like that, whether they are refugees, of whichever religion.","People were disgusted so the tribal, primal instinct took over and they decided to mete out justice.  When it comes to children, a whole different set of emotions take over",0DKA,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0
I think that this is a traumatic event. My condolence's go out to the child's family. I also would like the refugee to be imprisoned for life.,I think that the alleged perpetrator is heartless. Killing people is an unforgivable act of malicious intent. People who commit these acts deserved to be imprisoned for life.,UJ5F,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0
It is terrible that this child was taken from life so early. Whoever is responsible needs to be found and given the death penalty. There is never an excuse to cut a child's life short like this person did. They need to pay for taking someone so young off of this earth.,"He was only alleged, there was not a sure way to know that this man did it. Therefore it was wrong of the people to attack him and injure him as they did.",PIOH,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
"its a very tragic even to happen to anyone, i fell bad that the men who assaulted the man who allegedly killed the child had to go to jail but i wonder if those men had any hard evidence that the man they killed was actually the one who did it? i would have left it up to the police to do the work that we pay them to do and none of them would have been put into jail and now sentenced with murder. ","i really feel like the men who attacked the alleged perpetrator should have let the police do their job and investigate the gentleman who they thought did this hanious crime. i agree that the man should probably die but now the men who attacked him are facing criminal charges nad time in jail themselves, leaving their remaining familys outside in the real world!",AGMV,1,0,1,0,0,1,1,1,0,0,0,1,0,0,1,0,0
"It's very sad and horrible.  Unfortunately there's all too much of this sort of horror happening all over America. The vigilante street justice part of the story was unexpected.  Not sure how I feel about that, unless those beating the alleged murderer actually saw him kill the child and knew for a 100% he was the killer?","The risk is that the alleged attacker was totally innocent!  I somewhat agree with the principle behind old West style ""vigilante justice"", but the risk is an innocent person is falsely accused and beaten or worse.  We have a modern justice system for a reason, and every American citizen has a Constitutional right to a speedy trial.  If the alleged attacker wasn't a citizen, then that's a gray area outside my knowledge, of what rights he may or may not have in a criminal accusation.",9WHA,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,1,0
"The first thing that came to my mind was how this person could indiscriminately kill a child.  I think it's obvious that it's a mental problem and doesn't have anything thing to do with his religion or refugee status but how could this person not be identified as being dangerous after a year.  As a refugee, I'm sure that he must have been monitored.",I completely understand the reactions of the witnesses.  Witnessing such an attack had to be a shock and the anger displayed may not be justifiable but it's comprehensible.,JDYY,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Heartbreaking that someone is evil enough to harm and kill a child.  They deserve the most severe punishment or even the death penalty for their crime.  It is truly sick,Although he one hundred percent deserved to be attacked it is not up to us to decide his punishment.  That should be left up to a judge and we need to trust the legal system.,VBOP,1,0,0,0,0,1,1,1,0,1,0,1,0,1,1,0,0
"It is always sad when a child's life is taken so needlessly.  It also brings about fear and anxiety, because if it can happen in another small town, it could happen where I live.","It is so very wrong when people try to take justice into their own hands.  It can lead to great break downs in society, and lead to chaos.  I felt a little bad for the alleged perpetrator, but that is what can sometimes happen when emotions are ruling over people's logic.",MZNL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
I think the man that killed the kid needs to be locked up and given some kind of helpe becuase he has issues,it drove me crazy and i wanted to know why he did this,RDSQ,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
It is absolutely a tragedy.  I can not believe that people who have the nerve to do this to a young child.  We live in a very sad and terrifying world these days.,"I think that it is completely justified and hopefully this will discourage others from doing the same thing in the future.  I am certain that others, as well as me, would act the same way.",KWQO,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0
"the death of a child is always a tragedy, but this report takes place before much of the story is substantiated. we don't get any news of the suspects side of the story, or when to expect further details. This type of reporting is used to generate media buzz, and it infuriates me.","My childhood roots take me back to a small rural town in the midwest. I grew up around numerous accounts of ""personal justice"". It sickens me when i hear stories where people react to a situation prior to fully assessing that situation. I was displeased by what i read.",AIXH,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0
The killing of a child is the worst thing anyone can do in this world. This act is despicable and the person responsible should be put to death if convicted.,The killing of a child is the worst crime that a person can commit. The person who committed this crime should face the death penalty if convicted. The person who did this is despicable.,AKON,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0
I am furious and sad at the same time. How long are we going to let Muslim's commit crimes in our country. A poor innocent child had to suffer.,my reactions are mostly anger. It is ridiculous how this can continue on and nothing is done about it. This person should receive the death penalty.,DOXL,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,0,0
I can’t understand why this type of crime continues to happen. It’s the very worst part of humanity tat drives people to commit these terrible acts.,"I can understand why there were people who wanted to attack him. Especially when a child is involved, there are people who can’t control their behavior over these heinous crimes. ",FOXV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
I think the man is very disturbed and a piece of crap. He should have the whole book of the law thrown at him too. He is very sick and needs to be put away,he got what he deserves. the people in the town took  it into their own hands to deal justice but i think in the long term it is a lot better to let him be sentenced and put away,8EAX,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
It makes me wonder what would possess someone to do something so horrible and how society seems to be degenerating more and more each day.What monsters live among us?,I do not agree with attacking people because they allegedly committed a crime and think that the criminal justice system should be trusted to inflict the appropriate punishment for a crime.,EFNY,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0
"I feel sad, curious, anger, anxiety, and speechless about the incident.  The death of a child is a tragedy, especially in a homicide case.  Our society should enact laws that protect our children from such hideous crime  in the future.",The alleged perpetrator should be punished for the crime that he committed.  I do not feel any sympathy for this type of evil act toward an innocent children,TRCE,0,0,1,0,0,1,0,0,0,1,0,1,1,0,1,0,1
"It makes me upset to think that someone could murder an innocent child. It brings so many questions to mind, but most importantly WHY? What could drive a person to kill an innocent child?",I think the perpetrator got what he deserved. I don't think that any of the people involved with attacking him should be in any kind of trouble.,UBVH,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
"My first reaction is sadness regarding the incident. The article doesn't say what motivated what was described as a ""middle-aged muslim refugee"" to commit the homicide, but I think I can rightly suspect the perpetrator is angry, frustrated, depressed, and quite possibly mentally ill in order to have flipped out to such an extent. I have to admit that I perceive muslims as being idealistic in their attitudes about acceptable behavior, and I can easily envision a scenario where a (presumably American) child may've mouthed-off to the ""middle-aged muslim refugee"" who then reacted with a physical slap that then got out of control. I can just as easily envision the reaction of the residents crowding in on the perpetrator as being very likely. I'm sure we all agree that one of the foremost challenges concerning immigrants is that, when a person immigrates into America, they bring their culture with them. And, if such immigrants are beset with codes of conduct that are far more idealistic and reserved than the average Western allowance, there's going to be tension. ","I think the attack of the alleged perpetrator is one of those instances that come under the heading of ""I don't condone it but I understand it."" ",3P5X,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
"This is a horrible situation, and while I don't condone the sort of violence the crowd carried out, I can understand the extreme emotions behind it. That eye-for-an-eye mentality is a natural urge in the face of such a tragedy, but I wonder what proof there is that this man is the one who killed the child.","This isn't how our justice system works. We don't try and sentence and punish by mob mentality. As soon as I read that the alleged perpetrator was a Muslim immigrant (refugee, if I remember correctly?) I wondered if the crowd even had any logical reason to believe he's the perpetrator, or if they were acting based on their own racist garbage. The article didn't give enough info for me to know if this guy likely had anything to do with the homicide.",SRQB,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0
