colname,rename,question_text,delete,non-numeric
POSTQ3_6,emo_fea_hom,"When reading about the homicide of the child described in the article, to what extent did you experience the following emotions, if any? - Fear",,
POSTQ3_7,emo_anx_hom,"When reading about the homicide of the child described in the article, to what extent did you experience the following emotions, if any? - Anxiety",,
POSTQ3_8,emo_amu_hom,"When reading about the homicide of the child described in the article, to what extent did you experience the following emotions, if any? - Amusement",,
POSTQ4,react_hom,What are your reactions to the homicide of the child described in the article? Please write at least  20 words about anything that comes to mind.,,
POSTQ5_1,pun_nopu_hom,"If the alleged perpetrator were convicted, how justified would you consider each of the following punishments for the homicide of the child described in the article? - No punishment",,
POSTQ5_2,pun_comm_hom,"If the alleged perpetrator were convicted, how justified would you consider each of the following punishments for the homicide of the child described in the article? - Community Service",,
POSTQ5_3,pun_short_pris_hom,"If the alleged perpetrator were convicted, how justified would you consider each of the following punishments for the homicide of the child described in the article? - Short prison sentence",,
POSTQ5_4,pun_long_pris_hom,"If the alleged perpetrator were convicted, how justified would you consider each of the following punishments for the homicide of the child described in the article? - Long prison sentence",,
POSTQ5_5,pun_life_pris_hom,"If the alleged perpetrator were convicted, how justified would you consider each of the following punishments for the homicide of the child described in the article? - Life prison sentence",,
POSTQ5_6,pun_exe_inje_hom,"If the alleged perpetrator were convicted, how justified would you consider each of the following punishments for the homicide of the child described in the article? - Execution by lethal injection",,
POSTQ5_7,pun_exe_fire_hom,"If the alleged perpetrator were convicted, how justified would you consider each of the following punishments for the homicide of the child described in the article? - Execution by firing squad",,
POSTQ5_8,pun_exe_hang_hom,"If the alleged perpetrator were convicted, how justified would you consider each of the following punishments for the homicide of the child described in the article? - Execution by hanging",,
POSTQ5_9,pun_exe_publ_hom,"If the alleged perpetrator were convicted, how justified would you consider each of the following punishments for the homicide of the child described in the article? - Public execution",,
POSTQ6,torture,To what degree would you support the torture of the alleged perpetrator?,,
POSTQ7,detain,To what extent would you support detaining the alleged perpetrator without trial?,,
POSTQ8,,Which items are you most likely to purchase in the next six months?,1,
POSTQ9,,"If you had to guess, how much does a coffee cost at the coffee shop closest to you?",1,
POSTQ10_1,emo_ang_mob,"While reading about the attack of the alleged perpetrator described in the article, to what extent did you experience the following emotions, if any? - Anger",,
POSTQ10_2,emo_sat_mob,"While reading about the attack of the alleged perpetrator described in the article, to what extent did you experience the following emotions, if any? - Satisfaction",,
POSTQ10_3,emo_sad_mob,"While reading about the attack of the alleged perpetrator described in the article, to what extent did you experience the following emotions, if any? - Sadness",,
POSTQ10_4,emo_dis_mob,"While reading about the attack of the alleged perpetrator described in the article, to what extent did you experience the following emotions, if any? - Disgust",,
POSTQ10_5,emo_hap_mob,"While reading about the attack of the alleged perpetrator described in the article, to what extent did you experience the following emotions, if any? - Happiness",,
POSTQ10_6,emo_fea_mob,"While reading about the attack of the alleged perpetrator described in the article, to what extent did you experience the following emotions, if any? - Fear",,
POSTQ10_7,emo_anx_mob,"While reading about the attack of the alleged perpetrator described in the article, to what extent did you experience the following emotions, if any? - Anxiety",,
POSTQ10_8,emo_amu_mob,"While reading about the attack of the alleged perpetrator described in the article, to what extent did you experience the following emotions, if any? - Amusement",,
POSTQ11,react_mob,What are your reactions to the attack of the alleged perpetrator described in the article? Please write at least  20 words about anything that comes to mind.,,
POSTQ12_1,pun_nopu_mob,"If the local residents who attacked the alleged perpetrator were convicted, how justified would you consider each of the following punishments for their assault on the alleged perpetrator? - No punishment",,
POSTQ12_2,pun_comm_mob,"If the local residents who attacked the alleged perpetrator were convicted, how justified would you consider each of the following punishments for their assault on the alleged perpetrator? - Community Service",,
POSTQ12_3,pun_short_pris_mob,"If the local residents who attacked the alleged perpetrator were convicted, how justified would you consider each of the following punishments for their assault on the alleged perpetrator? - Short prison sentence",,
POSTQ12_4,pun_long_pris_mob,"If the local residents who attacked the alleged perpetrator were convicted, how justified would you consider each of the following punishments for their assault on the alleged perpetrator? - Long prison sentence",,
POSTQ12_5,pun_life_pris_mob,"If the local residents who attacked the alleged perpetrator were convicted, how justified would you consider each of the following punishments for their assault on the alleged perpetrator? - Life prison sentence",,
POSTQ12_6,pun_exe_inje_mob,"If the local residents who attacked the alleged perpetrator were convicted, how justified would you consider each of the following punishments for their assault on the alleged perpetrator? - Execution by lethal injection",,
POSTQ12_7,pun_exe_fire_mob,"If the local residents who attacked the alleged perpetrator were convicted, how justified would you consider each of the following punishments for their assault on the alleged perpetrator? - Execution by firing squad",,
POSTQ12_8,pun_exe_hang_mob,"If the local residents who attacked the alleged perpetrator were convicted, how justified would you consider each of the following punishments for their assault on the alleged perpetrator? - Execution by hanging",,
POSTQ12_9,pun_exe_publ_mob,"If the local residents who attacked the alleged perpetrator were convicted, how justified would you consider each of the following punishments for their assault on the alleged perpetrator? - Public execution",,
POSTQ13,legal_def,How willing are you contribute to a legal defense fund to cover legal expenses for the local residents who attacked the alleged perpetrator?,,
POSTQ14,,How often do you purchase items from Amazon.com?,1,
POSTQ15,,How long does it take you to get from your home to the nearest grocery store?,1,
POSTQ16,punitive_hom,To what extent should the government increase or decrease the harshness of sentencing for those convicted of homicide?,,
POSTQ17,punitive_refugee,To what extent should the government increase or decrease the number of refugees allowed to enter the country?,,
POSTQ18,punitive_mus_imm,To what extent should the government increase or decrease the number of Muslims allowed to enter the country?,,
POSTQ19,punitive_mus_mon,To what extent should the government increase or decrease the monitoring of Muslims living in the US?,,
POSTQ20,punitive_mus_reg,To what extent do you approve of the creation of a national registry to keep track of Muslims living in the country?,,
POSTQ21,att_article,What was the crime mentioned in the title of the article?,,
POSTQ22,att_comment,"Recall the article you just read. In the comment section, which of these comments had the most likes?",,
POSTQ23,,Is there anything you would like us to know?,1,
POSTMTurkCode,mturk_code,MTurkCode,,
POSTQ8 - Sentiment Polarity,,Q8 - Sentiment Polarity,1,
POSTQ8 - Sentiment Score,,Q8 - Sentiment Score,1,
POSTQ8 - Sentiment,,Q8 - Sentiment,1,
POSTQ8 - Topics,,Q8 - Topics,1,
timeOpened,,,1,
timezone,,,1,
referrer,,,1,
previousSites,,,1,
battery_level,battery,,,
browserName,,,1,
browserEngine,,,1,
browserVersion1a,,,1,
browserVersion1b,,,1,
browserLanguage,,,1,
browserOnline,,,1,
browserPlatform,,,1,
sizeScreenW,,,1,
sizeScreenH,,,1,
sizeDocW,,,1,
sizeDocH,,,1,
sizeInW,screen_width,,,
sizeInH,screen_height,,,
sizeAvailW,,,1,
sizeAvailH,,,1,
latitude,latitude,,,
longitude,longitude,,,
accuracy,,,1,
geobytesremoteip,,,1,
geobytesipaddress,,,1,
geobytescertainty,,,1,
geobytesregion,,,1,
geobyteslatitude,geobytes_latitude,,,
geobyteslongitude,geobytes_longitude,,,
geobytestimezone,,,1,
survey_code,,,1,
created,,,1,
factor_sensational,factor_sensational,,,
factor_refugee,factor_outgroup,,,
factor_peer,factor_peer_viol,,,
video_link,video_link,,,
comment_1_report,com_viol_report,,,
comment_2_report,com_info_report,,,
comment_3_report,com_pos_report,,,
comment_1_like,com_viol_like,,,
comment_2_like,com_info_like,,,
comment_3_like,com_pos_like,,,
POSTBots,exclude,,,
PREBots,exclude_pre,,,
mturk_id,mturk_id,,,
