StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q3,Q4,Q5,Q6,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q16_8_TEXT,Q17_1,Q18_1,Q19,Q20_Browser,Q20_Version,Q20_Operating System,Q20_Resolution,Q21_1,Q21_2,Q21_3,Q21_4,Q23_1,Q23_2,Q23_3,Q23_4,Q23_5,Q23_6,Q23_7,Q23_8,Q23_9,Q23_10,Q23_11,Q24_1,Q24_2,Q24_3,Q24_4,Q24_5,Q24_6,Q24_7,Q24_8,Q24_9,Q24_10,Q24_11,Q25_1,Q25_2,Q25_3,Q25_4,Q25_5,Q25_6,Q25_7,Q25_8,Q25_9,Q25_10,Q25_11,Q26,Q27,Bots,Q32 - Topics,Q23 - Sentiment Polarity,Q23 - Sentiment Score,Q23 - Sentiment,Q23 - Topics
2018-10-23 23:42:54,2018-10-23 23:46:31,0,104.238.59.38,100,216,1,2018-10-23 23:46:32,R_ywLGyIT0bwlIvdf,,,,,37.751007080078125,-97.82199859619140625,anonymous,EN,2SBK,1,50,6,3,,,,,1,,1,,1,,90,90,10,,,,,1,5,5,1,80,75,80,95,50,70,50,95,95,25,51,80,81,85,80,70,80,70,80,81,80,80,80,80,80,80,50,50,20,80,80,81,90,2,Clothing and books,,,0,0,Neutral,
2018-10-23 23:44:33,2018-10-23 23:47:30,0,172.7.244.112,100,176,1,2018-10-23 23:47:30,R_2xPFCpgZjnUvKtG,,,,,32.8827972412109375,-97.20980072021484375,anonymous,EN,M6WX,2,30,6,3,,,,,3,,,2,8,none,,0,45,,,,,5,1,1,3,80,26,97,49,43,13,38,100,72,37,56,83,41,91,43,50,42,41,62,61,46,64,49,50,50,49,39,51,49,56,55,50,46,1,nothing,,,0,-1,Negative,
2018-10-23 23:45:05,2018-10-23 23:48:10,0,71.58.113.194,100,185,1,2018-10-23 23:48:10,R_2Y69YHPpX4THtcE,,,,,40.0334930419921875,-76.28440093994140625,anonymous,EN,ZQOD,2,32,6,2,,,,,1,,1,,7,,,,39,,,,,4,4,3,4,82,76,91,96,54,85,73,83,83,54,62,81,79,91,81,49,66,81,72,83,54,78,71,73,77,77,41,63,74,83,78,52,88,2,I purchased a hard drive for my computer,,,0,-3,Negative,
2018-10-23 23:45:08,2018-10-23 23:48:42,0,107.15.144.116,100,213,1,2018-10-23 23:48:42,R_8vV7TkTXvnQc98d,,,,,35.8948974609375,-78.70510101318359375,anonymous,EN,WN9I,2,31,6,3,,,,,2,1,,,6,,,,34,,,,,5,1,1,5,9,100,18,86,70,77,75,7,65,50,36,95,0,72,10,40,8,4,72,29,40,65,78,0,31,11,7,4,7,86,23,66,86,1,Nothing,,,0,-1,Negative,
2018-10-23 23:46:10,2018-10-23 23:49:12,0,74.243.143.57,100,182,1,2018-10-23 23:49:13,R_2czlZj8vSbPFdmH,,,,,36.34320068359375,-79.6641998291015625,anonymous,EN,2ZVR,2,54,6,4,,,,,2,1,,,6,,,,34,,,,,5,2,1,5,88,0,96,83,0,6,0,99,67,5,8,100,0,96,24,1,11,0,79,54,12,71,92,0,86,36,0,4,0,91,52,94,92,1,nothing,,,0,-1,Negative,
2018-10-23 23:44:20,2018-10-23 23:49:27,0,24.247.157.207,100,306,1,2018-10-23 23:49:27,R_3LXWAlvIdGhfEaz,,,,,42.1938018798828125,-85.56390380859375,anonymous,EN,LQ3K,2,57,6,3,,,,,1,,2,,6,,,,23,,,,,1,5,5,1,87,100,100,99,81,95,100,100,63,39,88,91,99,99,96,77,91,99,97,83,43,87,100,100,100,100,76,100,100,100,79,55,89,2,"Kitchen utensils, some Blu-ray disks, spices.",,,0,1,Positive,
2018-10-23 23:44:09,2018-10-23 23:50:25,0,67.1.137.200,100,376,1,2018-10-23 23:50:26,R_2zJfPWqdKj8ep5H,,,,,32.246795654296875,-110.92220306396484375,anonymous,EN,HHM2,2,48,6,5,,,,,2,2,,,2,,,27,3,,,,,4,2,1,2,59,8,77,50,50,50,61,69,33,37,49,57,0,49,24,55,55,54,40,37,54,54,55,0,41,19,24,50,55,60,7,18,53,1,I don't think I purchased anything. Nothing I can remember.,,,0,-1,Negative,
2018-10-23 23:47:30,2018-10-23 23:51:10,0,67.245.212.31,100,219,1,2018-10-23 23:51:10,R_30ktWRdPsYjNBFW,,,,,41.7218017578125,-74.41410064697265625,anonymous,EN,6HNL,2,41,6,2,,,,,1,,2,,7,,,,33,,,,,1,1,5,1,95,86,77,83,51,94,67,100,88,58,30,78,75,90,65,44,56,75,88,86,55,76,75,75,80,74,35,60,70,87,85,69,89,3,"Led TV, Samsung Galaxy s8, refrigerator",,,0,1,Positive,
2018-10-23 23:48:17,2018-10-23 23:52:22,0,98.127.106.159,100,244,1,2018-10-23 23:52:22,R_D7ziUqbp1pknCHT,,,,,39.0782928466796875,-108.5457000732421875,anonymous,EN,GMKY,1,42,6,5,,,,,3,,,1,6,,,,6,,,,,3,5,4,3,52,52,52,52,52,61,52,51,50,49,50,100,100,100,100,100,100,100,100,100,100,100,50,50,50,50,50,50,50,50,41,50,50,1,I don't remember but I think nothing.,,,0,0,Neutral,
2018-10-23 23:44:07,2018-10-23 23:52:29,0,76.18.221.168,100,501,1,2018-10-23 23:52:29,R_1eDlutiZpAcGvYI,,,,,30.0814971923828125,-81.547698974609375,anonymous,EN,ARAY,2,31,6,5,,,,,1,,2,,6,,,,10,,,,,2,4,4,2,65,45,70,60,35,70,70,80,50,10,25,65,40,70,50,25,45,60,75,45,50,50,75,45,75,62,27,40,45,90,34,35,60,1,I didn't buy anything,,,0,-1,Negative,
2018-10-23 23:46:07,2018-10-23 23:54:13,0,70.177.181.202,100,485,1,2018-10-23 23:54:13,R_XHaE8hpzudAm0ed,,,,,33.7169036865234375,-112.23799896240234375,anonymous,EN,RHOT,1,33,6,4,,,,,3,,,1,7,,,,3,,,,,4,5,3,4,85,64,93,100,37,77,93,100,90,4,31,90,74,100,76,54,83,81,100,75,14,74,87,81,95,82,74,86,86,100,81,86,89,2,a tv,,,0,0,Neutral,
2018-10-23 23:44:48,2018-10-23 23:54:18,0,68.48.84.198,100,570,1,2018-10-23 23:54:19,R_3oOftx0qak89wNF,,,,,42.974395751953125,-83.66290283203125,anonymous,EN,OOCI,1,35,6,2,,,,,4,,,2,1,,62,43,23,,,,,3,4,4,2,50,54,77,100,50,80,50,100,25,38,100,68,50,97,73,50,50,42,91,16,33,88,50,50,50,50,37,50,15,71,3,30,50,1,Nothing,,,0,-1,Negative,
2018-10-23 23:51:34,2018-10-23 23:55:20,0,98.158.112.11,100,226,1,2018-10-23 23:55:21,R_XFGBiSJWpsCsagp,,,,,32.7904052734375,-96.8043975830078125,anonymous,EN,YEAV,1,57,6,5,,,,,3,,,2,7,,,,6,,,,,5,1,1,5,53,58,82,65,50,61,65,66,53,29,50,50,50,76,50,50,50,43,50,36,50,50,62,62,63,63,50,63,31,79,41,72,64,1,nothing,,,0,-1,Negative,
2018-10-23 23:58:39,2018-10-24 00:01:28,0,68.100.174.128,100,168,1,2018-10-24 00:01:28,R_3ml3h05ec5meMkW,,,,,38.8177032470703125,-77.29250335693359375,anonymous,EN,CELW,2,24,2,5,,,,,4,,,2,7,,,,48,,,,,5,1,1,5,100,0,100,0,0,0,0,100,0,0,0,100,0,100,0,0,0,0,100,0,0,0,100,0,100,0,0,0,0,100,0,0,0,1,I bought a pair of jeans.,,,0,1,Positive,
2018-10-24 00:01:02,2018-10-24 00:04:26,0,98.235.69.98,100,204,1,2018-10-24 00:04:27,R_21nNF3uo2xcLRJj,,,,,41.274200439453125,-75.89029693603515625,anonymous,EN,X8VK,2,38,6,5,,,,,1,,1,,7,,,,39,,,,,1,4,4,1,96,93,95,92,77,83,91,98,97,71,85,95,95,96,91,71,79,95,94,96,90,94,97,87,96,95,59,80,92,96,97,82,96,2,"Hard drive, Monitor",,,0,-4,Negative,
2018-10-24 00:03:38,2018-10-24 00:05:36,0,67.181.174.153,100,117,1,2018-10-24 00:05:36,R_2ydXVjJoiLupRtc,,,,,38.5803985595703125,-121.4922027587890625,anonymous,EN,N940,2,22,6,4,,,,,1,,2,,2,,,0,5,,,,,2,3,3,3,74,53,78,59,10,100,50,93,18,19,29,92,53,92,50,8,61,52,51,11,25,39,91,19,99,19,1,13,13,100,15,12,18,2,"A hard drive ",,,0,-3,Negative,
2018-10-24 00:13:53,2018-10-24 00:16:45,0,47.42.138.78,100,172,1,2018-10-24 00:16:46,R_1HixHEWF8aYcZnd,,,,,46.999603271484375,-120.51629638671875,anonymous,EN,KQWG,2,29,1,5,,,,,3,,,1,6,,,,49,,,,,3,3,3,2,50,93,90,88,27,53,89,90,62,11,40,100,100,100,100,51,100,100,100,90,56,99,100,100,100,100,35,100,100,100,100,14,100,2,CPU,,,0,1,Positive,
2018-10-24 00:11:37,2018-10-24 00:16:48,0,73.144.24.143,100,310,1,2018-10-24 00:16:48,R_2wH7p05XZIiM2ED,,,,,42.42120361328125,-83.10089874267578125,anonymous,EN,MELJ,2,31,1,2,,,,,3,,,1,6,,,,23,,,,,4,2,3,4,77,85,93,95,15,67,83,60,40,10,45,74,68,97,45,11,35,56,40,38,30,38,35,31,30,33,20,26,55,56,45,5,65,3,"Laptop, Video Games, Speaker",,,0,0,Neutral,
2018-10-24 00:02:10,2018-10-24 00:21:27,0,73.79.230.136,100,1156,1,2018-10-24 00:21:27,R_yEn3w1V2kV2ysRH,,,,,40.407196044921875,-79.9839019775390625,anonymous,EN,PWZI,1,29,6,2,,,,,1,,1,,6,,,,39,,,,,2,4,4,2,84,83,83,83,83,82,84,83,82,38,83,78,77,79,79,77,79,77,78,76,57,75,85,84,84,83,85,82,84,84,83,72,85,1,I don't remember buying anything,,,0,-1,Negative,
2018-10-24 00:25:07,2018-10-24 00:27:14,0,174.85.255.66,100,127,1,2018-10-24 00:27:14,R_1kZlTbOgwXWYvH5,,,,,34.8036041259765625,-86.970703125,anonymous,EN,7MMP,1,23,6,3,,,,,2,2,,,1,,18,25,1,,,,,4,2,2,4,66,7,72,14,37,13,12,87,86,41,33,89,5,80,7,39,7,10,87,80,16,63,69,1,73,3,15,6,0,72,79,20,65,1,NA,,,0,0,Neutral,
2018-10-24 00:28:31,2018-10-24 00:31:17,0,71.204.25.33,100,166,1,2018-10-24 00:31:18,R_3gLYJAnf2fBHWFQ,,,,,33.7698974609375,-84.2949981689453125,anonymous,EN,9S1E,1,37,6,5,,,,,1,,2,,2,,,9,11,,,,,1,5,5,1,70,6,2,1,1,1,1,1,99,1,1,17,92,92,92,98,100,96,94,10,71,91,1,78,94,99,90,93,94,93,1,80,93,1,nothing,,,0,-1,Negative,
2018-11-30 12:12:27,2018-11-30 12:20:18,0,75.69.93.90,100,471,1,2018-11-30 12:20:19,R_1hT5LSVw2m6fIIT,,,,,43.704498291015625,-72.285003662109375,anonymous,EN,AVZA,2,30,6,7,0,0,0,0,1,,2,,7,,,,5,,,,,1,5,5,1,40,50,50,50,50,100,50,50,25,0,50,50,50,50,50,50,50,50,25,0,0,50,30,50,50,50,50,50,50,50,0,0,50,1,Immersion blender,,,,,,
2018-11-30 13:17:19,2018-11-30 13:19:45,0,75.69.93.90,100,145,1,2018-11-30 13:19:45,R_a4tD3YRyixiUwJX,,,,,43.704498291015625,-72.285003662109375,anonymous,EN,1PB6,2,30,6,7,0,1,0,0,1,,2,,7,,,,30,,,,,1,5,5,1,31,69,52,57,50,54,51,44,24,66,1,66,45,43,41,65,39,38,59,67,37,39,60,62,17,72,74,82,60,57,52,95,74,2,dog shit,,,,,,
2018-11-30 13:38:07,2018-11-30 13:41:46,0,76.30.183.144,100,219,1,2018-11-30 13:41:47,R_8i95Hvzv0Xoxr1v,,,,,29.7852935791015625,-95.18520355224609375,anonymous,EN,ZP7A,1,41,6,2,1,1,1,0,3,,,1,1,,100,100,45,,,,,4,4,4,4,23,57,38,55,72,57,38,100,10,49,100,59,58,32,58,47,28,40,100,53,41,100,36,49,59,56,66,76,58,11,10,24,57,3,gaming system and pajamas,,,,,,
2018-11-30 13:38:51,2018-11-30 13:43:06,0,47.40.98.212,100,255,1,2018-11-30 13:43:06,R_1E4qv0FESZPgA2n,,,,,42.19189453125,-121.72409820556640625,anonymous,EN,ODWF,2,45,6,3,0,0,1,0,3,,,1,6,,,,38,,,,,2,4,5,1,77,76,76,76,54,84,76,76,76,16,29,77,77,77,77,36,77,76,76,76,25,81,75,75,75,77,15,77,76,76,12,57,83,1,I did not purchase anything,,,,,,
2018-11-30 13:40:10,2018-11-30 13:46:36,0,68.201.138.145,100,386,1,2018-11-30 13:46:36,R_1LCN44HRX9eRcJI,,,,,31.7677001953125,-106.30159759521484375,anonymous,EN,CIL6,2,30,3,3,0,0,0,0,1,,2,,1,,100,100,45,,,,,1,5,5,1,0,100,100,100,0,100,100,100,0,0,0,0,100,100,100,0,100,100,100,0,0,0,0,100,100,100,0,100,100,100,0,0,0,3,"Memory foam mattress, clothes, and a carpet cleaner",,,,,,
2018-11-30 13:44:17,2018-11-30 13:58:46,0,72.182.197.198,100,868,1,2018-11-30 13:58:46,R_3KPhxArP1IuQRcZ,,,,,32.847900390625,-96.9739990234375,anonymous,EN,1NKP,1,47,1,3,1,1,1,1,1,,1,,8,SPIRITUALITY,,96,45,,,,,1,5,5,1,88,92,92,91,83,93,92,93,78,50,77,89,90,91,86,89,84,83,87,83,74,81,69,90,79,76,79,80,67,82,74,83,90,1,NOTHING,,,,,,
2018-11-30 15:57:00,2018-11-30 16:00:19,0,71.115.145.137,100,199,1,2018-11-30 16:00:19,R_2bNxtGSbDF5IQEz,,,,,43.1620025634765625,-76.323699951171875,anonymous,EN,KBRG,2,28,6,5,0,0,0,0,2,1,,,6,,,,33,,,,,4,2,3,3,57,57,81,61,48,51,52,84,83,53,49,53,50,70,46,39,43,50,50,50,43,59,54,53,55,55,43,47,55,78,74,45,75,1,Did not purchase anything,,,,,,
2018-11-30 15:59:11,2018-11-30 16:02:56,0,137.103.49.50,100,225,1,2018-11-30 16:02:56,R_2rMfuen999dDFBi,,,,,25.7021942138671875,-80.29779815673828125,anonymous,EN,RVAO,2,26,"3,6",2,0,0,0,0,3,,,2,7,,,,10,,,,,4,2,2,2,39,23,63,37,40,76,60,31,22,18,80,48,23,55,44,53,24,42,43,31,23,32,40,36,39,39,36,29,62,42,42,33,48,1,I bought a new hat and some shirts/pants/etc. It was like $45.,,,,,,
2018-11-30 16:03:38,2018-11-30 16:06:40,0,99.141.210.88,100,182,1,2018-11-30 16:06:41,R_1je0choghte1QGl,,,,,41.601806640625,-87.88990020751953125,anonymous,EN,QY89,2,36,6,2,0,0,0,0,2,1,,,6,,,,14,,,,,5,2,1,2,63,24,58,29,40,29,29,60,57,34,38,53,15,64,24,23,24,25,41,39,18,38,55,28,43,43,39,26,17,71,36,45,50,1,Resident Evil 7,,,,,,
2018-11-30 16:06:47,2018-11-30 16:09:24,0,63.87.167.174,100,156,1,2018-11-30 16:09:24,R_3HNRjMmN25HBsMl,,,,,41.9228973388671875,-87.6483001708984375,anonymous,EN,GRDW,2,32,6,5,0,0,0,0,1,,1,,7,,,,14,,,,,2,5,4,1,97,96,97,97,83,93,94,99,97,74,83,96,97,98,98,97,93,96,98,98,50,96,98,97,98,97,78,97,96,98,86,66,97,2,A special beer release that is only released on Black Friday in the Chicago area and is sold out within minutes.,,,,,,
2018-11-30 16:01:24,2018-11-30 16:14:27,0,104.238.59.104,100,783,1,2018-11-30 16:14:28,R_10AW6ctPkUaSOna,,,,,37.751007080078125,-97.82199859619140625,anonymous,EN,3QDK,1,50,6,3,0,0,1,0,1,,1,,1,,75,75,10,,,,,1,5,5,1,100,100,100,100,50,30,30,100,100,50,100,80,90,100,75,50,30,30,100,100,75,100,75,75,75,75,50,30,5,75,75,75,75,1,nothing,,,,,,
